cohort,signal,mean,median,nonzero_rate,p90,p95
all_scored_accounts,manipulative_signal,0.09036660839512126,0.0,0.486808527739265,0.1947613310090238,0.4310739083651067
all_scored_accounts,coordinative_signal,0.12513060863624484,0.0932214266414482,0.9144212028050717,0.3262658027478635,0.43559664330644904
all_scored_accounts,interaction_reach_signal,0.3460505957763175,0.2108252896161258,0.9144212028050717,0.6579045211974193,0.7223464717515978
all_scored_accounts,automatic_behavior_signal,0.02501657724998493,0.0,0.05001306086362449,0.0,0.0002812374447557007
all_scored_accounts,mca_score_primary,0.12781660035766668,0.1052567443405179,0.9555930636767336,0.2560436541383879,0.33066138552279134
mca_top20,manipulative_signal,0.524856300081741,0.5445961499918133,1.0,0.5922956601284245,0.6080772999506551
mca_top20,coordinative_signal,0.8679254794817162,0.8850223613132191,1.0,0.9265932364632872,0.9462100920083775
mca_top20,interaction_reach_signal,0.9741711832080332,0.9791759024420487,1.0,0.9960245934185036,0.998258829875814
mca_top20,automatic_behavior_signal,0.8534953796705504,0.8539574126155083,1.0,0.9548413017276014,0.9831458417034954
mca_top20,mca_score_primary,0.7780555612584379,0.7758776019593923,1.0,0.8023402488214454,0.807382719544167
mca_top100,manipulative_signal,0.4884714254923149,0.49683113870855194,1.0,0.5903430571378316,0.6420554936034154
mca_top100,coordinative_signal,0.7191910359333831,0.7210097650404441,1.0,0.9101939645560466,0.9250567734220817
mca_top100,interaction_reach_signal,0.9543497532375883,0.9678131363862597,1.0,0.9957767352279754,0.9975476252858564
mca_top100,automatic_behavior_signal,0.8079188429087987,0.8531538770590599,0.99,0.9743672157492969,0.9861791884290881
mca_top100,mca_score_primary,0.7029945217917765,0.6920074075463387,1.0,0.7731836434742181,0.7910646399514641
