seed,neighbor,shared_target_count,shared_target_weight_sum,shared_targets
Any-Regular2960,CoffeeAlternative647,2,0.9357486937559261,"HealthyMolasses8199, AffectionateIdeal183"
Any-Regular2960,LiveSlay,2,0.6931471805599452,"AffectionateIdeal183, HealthyMolasses8199"
Any-Regular2960,56hoperoad,1,0.4119796082505411,HealthyMolasses8199
Any-Regular2960,AIweWereWarned,1,0.3465735902799726,chronobrian
Any-Regular2960,VilCyan,0,0.0,
Any-Regular2960,crushthewebdev,0,0.0,
Any-Regular2960,Benglian,0,0.0,
Any-Regular2960,lankymanx,0,0.0,
Any-Regular2960,According-Debate-265,0,0.0,
Any-Regular2960,BTC-Stacker69,0,0.0,
Any-Regular2960,Dry_Negotiation_9234,0,0.0,
Any-Regular2960,HumanBeeing-,0,0.0,
Any-Regular2960,AwayWorker901,0,0.0,
Any-Regular2960,0piates,0,0.0,
Any-Regular2960,AccomplishedPhase883,0,0.0,
Any-Regular2960,Behruz_Tolibov,0,0.0,
Any-Regular2960,CARadders,0,0.0,
Any-Regular2960,ETH2140,0,0.0,
