neighbor,weight,relation
DesignerRestaurant50,0.2177410155583157,co_target
-not-a-lizard,0.2070539525744647,co_target
_Starter,0.1959890310974433,co_target
ArenIX,0.1820083346490165,co_target
alfonsomg,0.1790694947888725,co_target
Amichateur,0.1780911269024964,co_target
Brendan056,0.1771329596734984,co_target
lordchickenburger,0.172053212387238,co_target
DefinitelyIdiot,0.1711705289226216,co_target
Rabbidextrious,0.1711705289226216,co_target
EkariKeimei,0.1709798475694185,co_target
Dudebro21000000,0.1690960345836652,co_target
300wizzum,0.1687520431705827,co_target
BITMiningLimited,0.1672339825887487,co_target
Hot_Marionberry9569,0.1664984529426482,co_target
90020,0.2871751381120287,co_negative_target
Any_Mud_1628,0.2871751381120287,co_negative_target
groobler17,0.2721248586745504,co_negative_target
909dave,0.234477518395919,co_negative_target
_Starter,0.231627883938726,co_negative_target
anonymoushusky11,0.222189016693211,co_negative_target
siunaldo_7,0.9938106654815674,tag_similarity
realbacktofuture,0.9900289143241786,tag_similarity
WhiteHoneypot,0.987066090050692,tag_similarity
WinOutrageous1190,0.9852710489387212,tag_similarity
DuckDuckMosss,0.981840877049441,tag_similarity
SatoshiBitCoinss,0.9803459692499926,tag_similarity
OpticallyMosache,0.9797065096715328,tag_similarity
SteelGhost17,0.9788984512824576,tag_similarity
PheelGoodInc,0.9776165812684908,tag_similarity
theazureunicorn,0.9771729773650316,tag_similarity
Rock_Daddy69,0.976189584309221,tag_similarity
JG87919,0.9740074536240648,tag_similarity
FxCitySignal,0.9715368005125914,tag_similarity
RustinSats,0.9709210908085126,tag_similarity
Aggressive-Tone6030,0.9700575375591298,tag_similarity
