source_author,target_author,shared_target_count,weight_co_target,layer,weight_co_negative_target
BitcoinMD,_Starter,3,0.2035109410747594,co_target,
BtcKing1111,_Starter,4,0.1959890310974433,co_target,
KaleidoscopeShot8153,_Starter,3,,co_negative_target,0.464091768796828
Any_Mud_1628,KaleidoscopeShot8153,2,,co_negative_target,0.464091768796828
909dave,DavidGunn454,2,,co_negative_target,0.3070097328202872
Any_Mud_1628,DavidGunn454,2,,co_negative_target,0.3066218031946368
90020,BtcKing1111,2,,co_negative_target,0.2871751381120287
Any_Mud_1628,BtcKing1111,2,,co_negative_target,0.2871751381120287
BtcKing1111,groobler17,3,,co_negative_target,0.2721248586745504
909dave,BitcoinMD,2,,co_negative_target,0.2519763153394848
DavidGunn454,groobler17,2,,co_negative_target,0.250355653946315
909dave,BtcKing1111,2,,co_negative_target,0.234477518395919
BtcKing1111,_Starter,2,,co_negative_target,0.231627883938726
BitcoinMD,_Starter,2,,co_negative_target,0.2314550249431378
2xfun,Any_Mud_1628,2,,co_negative_target,0.2278853270458081
BtcKing1111,anonymoushusky11,2,,co_negative_target,0.222189016693211
DavidGunn454,KaleidoscopeShot8153,3,,co_negative_target,0.2170945302111669
2xfun,_Starter,2,,co_negative_target,0.2042400879809496
