relation,neighbor,weight_trigger_response,response_coverage,posts_with_b_comment,b_total_comments_on_a_posts,median_response_delay_minutes
trigger_in_post_author_to_seed,DeJ4_Vu,0.761500010418809,1.0,1,2,395.05
trigger_in_post_author_to_seed,dcconnection,0.4804530139182014,1.0,1,1,43.85
trigger_in_post_author_to_seed,codexTKO,0.4804530139182014,1.0,1,1,152.36666666666667
trigger_in_post_author_to_seed,chronobrian,0.4804530139182014,1.0,1,1,167.06666666666666
trigger_in_post_author_to_seed,Wattoss,0.4804530139182014,1.0,1,1,289.75
trigger_in_post_author_to_seed,WaterWalkersLLC,0.4804530139182014,1.0,1,1,70.56666666666666
trigger_in_post_author_to_seed,Vegetable_Sun_9225,0.4804530139182014,1.0,1,1,994.4166666666666
trigger_in_post_author_to_seed,UltimateBeefSupreme,0.4804530139182014,1.0,1,1,7.716666666666667
trigger_in_post_author_to_seed,TrickNo3163,0.4804530139182014,1.0,1,1,5.916666666666667
trigger_in_post_author_to_seed,Top-Construction3531,0.4804530139182014,1.0,1,1,545.6666666666666
trigger_in_post_author_to_seed,Thunder-Bolt-7,0.4804530139182014,1.0,1,1,4.033333333333333
trigger_in_post_author_to_seed,That-Brilliant-9484,0.4804530139182014,1.0,1,1,189.56666666666663
trigger_in_post_author_to_seed,TelMax3,0.4804530139182014,1.0,1,1,41.5
trigger_in_post_author_to_seed,Sufficient_Truth_383,0.4804530139182014,1.0,1,1,189.46666666666667
trigger_in_post_author_to_seed,StopElectingWealthy,0.4804530139182014,1.0,1,1,88.4
trigger_out_seed_to_responder,0a0d0s0,0.2402265069591007,0.5,1,1,14.916666666666666
trigger_out_seed_to_responder,NoOpportunity229,0.2402265069591007,0.5,1,1,26.8
trigger_out_seed_to_responder,givenofaux,0.2402265069591007,0.5,1,1,26.45
trigger_out_seed_to_responder,dod_murray,0.2402265069591007,0.5,1,1,846.1333333333333
trigger_out_seed_to_responder,borno2137,0.2402265069591007,0.5,1,1,425.78333333333336
trigger_out_seed_to_responder,amvart,0.2402265069591007,0.5,1,1,1107.1
trigger_out_seed_to_responder,TreeHundo,0.2402265069591007,0.5,1,1,3.4166666666666665
trigger_out_seed_to_responder,SongwritingShane,0.2402265069591007,0.5,1,1,130.43333333333334
trigger_out_seed_to_responder,Significant-Field232,0.2402265069591007,0.5,1,1,8.1
trigger_out_seed_to_responder,Old-Selection3664,0.2402265069591007,0.5,1,1,4.766666666666667
trigger_out_seed_to_responder,No-Ad7834,0.2402265069591007,0.5,1,1,1695.8
trigger_out_seed_to_responder,4TH3MON3Y,0.2402265069591007,0.5,1,1,98.58333333333331
trigger_out_seed_to_responder,Neukted,0.2402265069591007,0.5,1,1,100.73333333333332
trigger_out_seed_to_responder,MultiBitcoinaire21,0.2402265069591007,0.5,1,1,410.23333333333335
trigger_out_seed_to_responder,Feeling-Beginning684,0.2402265069591007,0.5,1,1,685.1333333333333
