relation,neighbor,weight_trigger_response,response_coverage,posts_with_b_comment,b_total_comments_on_a_posts,median_response_delay_minutes
trigger_in_post_author_to_seed,69_breeze_69,0.4804530139182014,1.0,1,1,44.78333333333333
trigger_in_post_author_to_seed,Roquero676,0.4804530139182014,1.0,1,1,112.58333333333331
trigger_in_post_author_to_seed,Accomplished-Risk255,0.4804530139182014,1.0,1,1,3.716666666666667
trigger_in_post_author_to_seed,toe-knee-was-taken,0.4804530139182014,1.0,1,1,32.35
trigger_in_post_author_to_seed,the_conscious_kauri,0.4804530139182014,1.0,1,1,2.6666666666666665
trigger_in_post_author_to_seed,sumthingsup,0.4804530139182014,1.0,1,1,19.3
trigger_in_post_author_to_seed,sleepy-diplodocus,0.4804530139182014,1.0,1,1,30.283333333333335
trigger_in_post_author_to_seed,shotbysumner,0.4804530139182014,1.0,1,1,2.966666666666667
trigger_in_post_author_to_seed,nickesssss91,0.4804530139182014,1.0,1,1,3.683333333333333
trigger_in_post_author_to_seed,mosju,0.4804530139182014,1.0,1,1,4.633333333333334
trigger_in_post_author_to_seed,juez_y_verdugo,0.4804530139182014,1.0,1,1,27.366666666666667
trigger_in_post_author_to_seed,jessi387,0.4804530139182014,1.0,1,1,45.7
trigger_in_post_author_to_seed,bajasauce2025,0.4804530139182014,1.0,1,1,24.1
trigger_in_post_author_to_seed,andWan,0.4804530139182014,1.0,1,1,2.0833333333333335
trigger_in_post_author_to_seed,Western-Efficiency66,0.4804530139182014,1.0,1,1,42.75
trigger_out_seed_to_responder,Calm-Professional103,0.3017372402031455,0.25,2,2,775.55
trigger_out_seed_to_responder,bobbyv137,0.3017372402031455,0.25,2,2,543.9583333333333
trigger_out_seed_to_responder,ComicCollector69,0.0951875013023511,0.125,1,2,1178.0666666666666
trigger_out_seed_to_responder,Salty-Yak-9225,0.0951875013023511,0.125,1,2,979.7166666666668
trigger_out_seed_to_responder,TraditionalSpot8603,0.0600566267397751,0.125,1,1,177.11666666666667
trigger_out_seed_to_responder,UndevelopedSirius,0.0600566267397751,0.125,1,1,338.25
trigger_out_seed_to_responder,Unable_Chard9803,0.0600566267397751,0.125,1,1,94.11666666666666
trigger_out_seed_to_responder,Tylc,0.0600566267397751,0.125,1,1,186.31666666666663
trigger_out_seed_to_responder,TuggerSpeedmen,0.0600566267397751,0.125,1,1,15.383333333333333
trigger_out_seed_to_responder,Tressent,0.0600566267397751,0.125,1,1,202.05
trigger_out_seed_to_responder,Terrible-Pattern8933,0.0600566267397751,0.125,1,1,54.016666666666666
trigger_out_seed_to_responder,TiestoForever,0.0600566267397751,0.125,1,1,722.8666666666667
trigger_out_seed_to_responder,Vanhouzer,0.0600566267397751,0.125,1,1,444.43333333333334
trigger_out_seed_to_responder,SwigTheRome,0.0600566267397751,0.125,1,1,94.51666666666668
trigger_out_seed_to_responder,SuperiorT,0.0600566267397751,0.125,1,1,852.4333333333333
