neighbor,weight,relation
Sweet_Coach4530,0.1879922331528994,co_target
jcstudio,0.1879922331528994,co_target
Obvious_Profit1656,0.1781399330560749,co_target
foreycorf,0.1781399330560749,co_target
753UDKM,0.1696924206448091,co_target
italia0101,0.1542737074550202,co_target
Eternalconundrum,0.1534950156103103,co_target
NugKnights,0.1534950156103103,co_target
OkParsley8128,0.1534950156103103,co_target
Pawelox90,0.1534950156103103,co_target
Square-Situation-249,0.1505253513044081,co_target
FuckYaHoeAssMom,0.2770985140843599,co_negative_target
Complex-Card-2356,0.2143926761081096,co_negative_target
Ilovecash1,0.2143926761081096,co_negative_target
Inevitable-Notice351,0.2143926761081096,co_negative_target
Ovniologo2,0.2143926761081096,co_negative_target
newengland20,0.2143926761081096,co_negative_target
GetRichQuickStocks,0.203390751048117,co_negative_target
iancroasdell,0.9614903594241512,tag_similarity
Pandaexchange2,0.960848872857932,tag_similarity
Cryptoconomy,0.9605465058861238,tag_similarity
andm1990,0.956942234010392,tag_similarity
Narrow-Surround-8416,0.9548941185646144,tag_similarity
Mantis-Prawn,0.9530766397578072,tag_similarity
Millenial-Mike,0.9523672912825456,tag_similarity
RockmSockmHobo,0.9494829089073752,tag_similarity
zzseayzz,0.946109523366354,tag_similarity
Niwde101,0.944663363701898,tag_similarity
aspee38,0.9344674517490456,tag_similarity
OrganizationLoud8722,0.9133002132954048,tag_similarity
skydiver19,0.9059993164616732,tag_similarity
Wide_Operation_4785,0.9054655352989536,tag_similarity
smartaiai,0.90461191317732,tag_similarity
