source_author,target_author,shared_target_count,weight_co_target,layer,weight_co_negative_target
Complex-Card-2356,Inevitable-Notice351,2,1.0,co_target,
Nementon,No-Plastic-4640,2,0.3535533905932738,co_target,
Complex-Card-2356,Inevitable-Notice351,2,,co_negative_target,1.0
Complex-Card-2356,Ovniologo2,2,,co_negative_target,1.0
Inevitable-Notice351,Ovniologo2,2,,co_negative_target,1.0
Complex-Card-2356,No-Plastic-4640,2,,co_negative_target,0.8164965809277261
Inevitable-Notice351,No-Plastic-4640,2,,co_negative_target,0.8164965809277261
No-Plastic-4640,Ovniologo2,2,,co_negative_target,0.8164965809277261
Complex-Card-2356,Just-Shoe2689,2,,co_negative_target,0.5773502691896257
Inevitable-Notice351,Just-Shoe2689,2,,co_negative_target,0.5773502691896257
Just-Shoe2689,Ovniologo2,2,,co_negative_target,0.5773502691896257
Complex-Card-2356,Nementon,2,,co_negative_target,0.5345224838248488
Inevitable-Notice351,Nementon,2,,co_negative_target,0.5345224838248488
Nementon,Ovniologo2,2,,co_negative_target,0.5345224838248488
Just-Shoe2689,No-Plastic-4640,2,,co_negative_target,0.4714045207910317
Nementon,No-Plastic-4640,2,,co_negative_target,0.4364357804719847
Just-Shoe2689,Nementon,2,,co_negative_target,0.3086066999241837
FuckYaHoeAssMom,Odd-Following-247,2,,co_negative_target,0.2770985140843599
Complex-Card-2356,Odd-Following-247,2,,co_negative_target,0.2143926761081096
Ilovecash1,Odd-Following-247,2,,co_negative_target,0.2143926761081096
Inevitable-Notice351,Odd-Following-247,2,,co_negative_target,0.2143926761081096
Odd-Following-247,Ovniologo2,2,,co_negative_target,0.2143926761081096
Odd-Following-247,newengland20,2,,co_negative_target,0.2143926761081096
GetRichQuickStocks,Odd-Following-247,3,,co_negative_target,0.203390751048117
