seed,neighbor,shared_target_count,shared_target_weight_sum,shared_targets
Odd-Following-247,Mantis-Prawn,6,2.599301927099795,"fanzakh, MetalPopular4585, twohundred37, Majestic-Francesco, Stony_1987, Soggy-Welder2265"
Odd-Following-247,GetRichQuickStocks,3,1.0397207708399177,"Soggy-Welder2265, clomidjunkie, skeetskeetamirite"
Odd-Following-247,newengland20,2,1.3862943611198906,"Writer-105, skeetskeetamirite"
Odd-Following-247,skydiver19,2,1.0397207708399179,"twohundred37, skeetskeetamirite"
Odd-Following-247,753UDKM,2,0.8664339756999315,"Writer-105, keepitahunned"
Odd-Following-247,Complex-Card-2356,2,0.8664339756999315,"twohundred37, Majestic-Francesco"
Odd-Following-247,FuckYaHoeAssMom,2,0.6931471805599452,"Majestic-Francesco, MetalPopular4585"
Odd-Following-247,Inevitable-Notice351,2,0.6931471805599452,"Majestic-Francesco, twohundred37"
Odd-Following-247,Ovniologo2,2,0.6931471805599452,"Majestic-Francesco, twohundred37"
Odd-Following-247,Ilovecash1,2,0.6238324625039506,"clomidjunkie, Majestic-Francesco"
Odd-Following-247,Obvious_Profit1656,1,0.5198603854199589,Soggy-Welder2265
Odd-Following-247,Millenial-Mike,1,0.4852030263919616,clomidjunkie
Odd-Following-247,Sweet_Coach4530,1,0.3465735902799726,MetalPopular4585
Odd-Following-247,foreycorf,1,0.3465735902799726,the_little_alex
Odd-Following-247,Eternalconundrum,1,0.3465735902799726,MetalPopular4585
Odd-Following-247,jcstudio,0,0.0,
Odd-Following-247,italia0101,0,0.0,
Odd-Following-247,NugKnights,0,0.0,
Odd-Following-247,OkParsley8128,0,0.0,
Odd-Following-247,Pawelox90,0,0.0,
Odd-Following-247,Square-Situation-249,0,0.0,
Odd-Following-247,iancroasdell,0,0.0,
Odd-Following-247,Pandaexchange2,0,0.0,
Odd-Following-247,Cryptoconomy,0,0.0,
Odd-Following-247,andm1990,0,0.0,
Odd-Following-247,Narrow-Surround-8416,0,0.0,
Odd-Following-247,RockmSockmHobo,0,0.0,
Odd-Following-247,zzseayzz,0,0.0,
Odd-Following-247,Niwde101,0,0.0,
Odd-Following-247,aspee38,0,0.0,
Odd-Following-247,OrganizationLoud8722,0,0.0,
Odd-Following-247,Wide_Operation_4785,0,0.0,
Odd-Following-247,smartaiai,0,0.0,
