neighbor,weight,relation
N00bpwner6969,0.6304403775038808,co_target
Typical-Street-6496,0.6138661056603967,co_target
TheAscensionLattice,0.6004947517727541,co_target
Soi_Boi_13,0.5878041748565385,co_target
Pugilist12,0.566954402419431,co_target
derek985,0.5425708347503935,co_target
eyedude2898,0.5411837726390075,co_target
Lord_WSB_,0.5367933946264816,co_target
KingPettyx,0.4906789882002573,co_target
FrivolerFridolin,0.4881313208099986,co_target
Project2025IsOn,0.4877816612387529,co_target
Particular_Lab_151,0.4875465798164898,co_target
eetaylog,0.4801364379871641,co_target
Ancient_Potential_96,0.4520123130467475,co_target
antigios,0.4455817799877416,co_target
Lord_Alamar,0.3779644730092272,co_negative_target
soundsandsights,0.3779644730092272,co_negative_target
helloipoo,0.3086066999241838,co_negative_target
YLCZ,0.2672612419124244,co_negative_target
jasperCrow,0.2672612419124244,co_negative_target
JustinPooDough,0.2223747949983303,co_negative_target
AccomplishedScheme82,0.2182178902359924,co_negative_target
Hot_Molasses_4006,0.2182178902359924,co_negative_target
JoMadrid13,0.2182178902359924,co_negative_target
my-name-is-mine,0.2182178902359924,co_negative_target
Significant_Book1672,0.2020305089104421,co_negative_target
tommyboy11011,0.9998297040530212,tag_similarity
smartaiai,0.997908872658575,tag_similarity
skydiver19,0.9963758280851096,tag_similarity
Narrow-Surround-8416,0.9412140938495794,tag_similarity
OTCWATCH,0.9191850610874862,tag_similarity
Altruistic-Loan-2271,0.9003968354102613,tag_similarity
Odd-Following-247,0.8977426694822752,tag_similarity
OrganizationLoud8722,0.8969812531006431,tag_similarity
noagendamarket,0.8969812531006431,tag_similarity
Wide_Operation_4785,0.8966211921918223,tag_similarity
MitchOnRed,0.8937008037903399,tag_similarity
cryptomummum,0.8804049321921597,tag_similarity
