relation,neighbor,weight_trigger_response,response_coverage,posts_with_b_comment,b_total_comments_on_a_posts,median_response_delay_minutes
trigger_in_post_author_to_seed,rBitcoinMod,12.447739680545116,0.556390977443609,74,177,283.64166666666665
trigger_in_post_author_to_seed,Single-Landscape1128,0.4804530139182014,1.0,1,1,312.78333333333336
trigger_in_post_author_to_seed,4fingertakedown,0.4804530139182014,1.0,1,1,165.25
trigger_in_post_author_to_seed,tsitsifly22,0.4804530139182014,1.0,1,1,329.5
trigger_in_post_author_to_seed,tbirtles,0.4804530139182014,1.0,1,1,889.0666666666667
trigger_in_post_author_to_seed,quigleydude,0.4804530139182014,1.0,1,1,450.0833333333333
trigger_in_post_author_to_seed,neffly_07,0.4804530139182014,1.0,1,1,3785.1666666666665
trigger_in_post_author_to_seed,mrmango43,0.4804530139182014,1.0,1,1,127.53333333333332
trigger_in_post_author_to_seed,i_n_i_t,0.4804530139182014,1.0,1,1,37.9
trigger_in_post_author_to_seed,doegs,0.4804530139182014,1.0,1,1,431.4166666666667
trigger_in_post_author_to_seed,bespread,0.4804530139182014,1.0,1,1,384.3333333333333
trigger_in_post_author_to_seed,TetonMovements,0.4804530139182014,1.0,1,1,71.16666666666667
trigger_in_post_author_to_seed,TSIOLKOVSKl,0.4804530139182014,1.0,1,1,403.18333333333334
trigger_in_post_author_to_seed,SoVeryMuchOverThis,0.4804530139182014,1.0,1,1,14.933333333333334
trigger_in_post_author_to_seed,PrinceClark612,0.4804530139182014,1.0,1,1,6.55
trigger_out_seed_to_responder,Dettol-tasting-menu,0.2402265069591007,0.5,1,1,156.8
trigger_out_seed_to_responder,Valdemorilla,0.2402265069591007,0.5,1,1,492.6333333333333
trigger_out_seed_to_responder,thats_so_over,0.2402265069591007,0.5,1,1,855.7666666666667
trigger_out_seed_to_responder,springfifth,0.2402265069591007,0.5,1,1,325.35
trigger_out_seed_to_responder,scrub-muffin,0.2402265069591007,0.5,1,1,37.666666666666664
trigger_out_seed_to_responder,predatarian,0.2402265069591007,0.5,1,1,146.86666666666667
trigger_out_seed_to_responder,mcjohnalds45,0.2402265069591007,0.5,1,1,122.3
trigger_out_seed_to_responder,lordchickenburger,0.2402265069591007,0.5,1,1,67.65
trigger_out_seed_to_responder,edhodl,0.2402265069591007,0.5,1,1,1533.75
trigger_out_seed_to_responder,chrismckong,0.2402265069591007,0.5,1,1,58.53333333333333
trigger_out_seed_to_responder,UnderpaidBIGtime,0.2402265069591007,0.5,1,1,35.083333333333336
trigger_out_seed_to_responder,Due_Performer5094,0.2402265069591007,0.5,1,1,1705.9333333333334
trigger_out_seed_to_responder,Prestigious_Long777,0.2402265069591007,0.5,1,1,560.7333333333333
trigger_out_seed_to_responder,NashDaypring1987,0.2402265069591007,0.5,1,1,17.2
trigger_out_seed_to_responder,Mr_Ander5on,0.2402265069591007,0.5,1,1,305.5833333333333
