seed,neighbor,shared_target_count,shared_target_weight_sum,shared_targets
onebtcisonebtc,Biggie_Nuf,2,1.0397207708399179,"iPurchaseBitcoin, skeetskeetamirite"
onebtcisonebtc,bestjaegerpilot,2,0.6931471805599452,"WinOutrageous1190, iPurchaseBitcoin"
onebtcisonebtc,PunkerWannaBe,2,0.6931471805599452,"WinOutrageous1190, iPurchaseBitcoin"
onebtcisonebtc,MatchboxVader22,2,0.6931471805599452,"Phonktrax, fanalis01141"
onebtcisonebtc,bryanchicken,2,0.6931471805599452,"iPurchaseBitcoin, skeetskeetamirite"
onebtcisonebtc,alfonsomg,1,0.3465735902799726,iPurchaseBitcoin
onebtcisonebtc,BITMiningLimited,1,0.3465735902799726,skeetskeetamirite
onebtcisonebtc,jamesnaranja90,1,0.3465735902799726,iPurchaseBitcoin
onebtcisonebtc,Dudebro21000000,0,0.0,
onebtcisonebtc,Grunblau,0,0.0,
onebtcisonebtc,Romanizer,0,0.0,
onebtcisonebtc,notapaperhandape,0,0.0,
onebtcisonebtc,Ted_Ox,0,0.0,
onebtcisonebtc,Abx13523,0,0.0,
onebtcisonebtc,hello-operatorz,0,0.0,
onebtcisonebtc,mirob2,0,0.0,
onebtcisonebtc,Prize_North_759,0,0.0,
onebtcisonebtc,weallwinoneday,0,0.0,
onebtcisonebtc,Brendan056,0,0.0,
onebtcisonebtc,walkinyardsale,0,0.0,
onebtcisonebtc,Objective-Win7524,0,0.0,
onebtcisonebtc,punppis,0,0.0,
onebtcisonebtc,MaddenMike,0,0.0,
onebtcisonebtc,United-Sky1296,0,0.0,
onebtcisonebtc,david-milionaire-03,0,0.0,
onebtcisonebtc,Firm_Substance_1506,0,0.0,
onebtcisonebtc,Big-Ratio7713,0,0.0,
onebtcisonebtc,QuantumHavoc,0,0.0,
onebtcisonebtc,cashmoneyv1,0,0.0,
onebtcisonebtc,Franktradingxmback,0,0.0,
onebtcisonebtc,ed4g,0,0.0,
onebtcisonebtc,HellYeahDamnWrite,0,0.0,
onebtcisonebtc,webstryker,0,0.0,
onebtcisonebtc,brdbrd1,0,0.0,
onebtcisonebtc,wipoooo,0,0.0,
onebtcisonebtc,Parkshinhye20,0,0.0,
