relation,neighbor,weight_trigger_response,response_coverage,posts_with_b_comment,b_total_comments_on_a_posts,median_response_delay_minutes
trigger_in_post_author_to_seed,RickyMAustralia,0.761500010418809,1.0,1,2,928.35
trigger_in_post_author_to_seed,bMousee,0.4804530139182014,1.0,1,1,202.28333333333333
trigger_in_post_author_to_seed,69_breeze_69,0.4804530139182014,1.0,1,1,579.5166666666667
trigger_in_post_author_to_seed,rolex_guy,0.4804530139182014,1.0,1,1,66.43333333333334
trigger_in_post_author_to_seed,piesown232,0.4804530139182014,1.0,1,1,415.65
trigger_in_post_author_to_seed,onewhosaysnice,0.4804530139182014,1.0,1,1,78.91666666666667
trigger_in_post_author_to_seed,holdthefridge,0.4804530139182014,1.0,1,1,129.91666666666666
trigger_in_post_author_to_seed,fanalis01141,0.4804530139182014,1.0,1,1,77.7
trigger_in_post_author_to_seed,bobtobno,0.4804530139182014,1.0,1,1,67.81666666666666
trigger_in_post_author_to_seed,baigorria,0.4804530139182014,1.0,1,1,179.58333333333334
trigger_in_post_author_to_seed,hunglikeahourse,0.4804530139182014,1.0,1,1,41.2
trigger_in_post_author_to_seed,That-Brilliant-9484,0.4804530139182014,1.0,1,1,161.03333333333333
trigger_in_post_author_to_seed,SadDevelopment3049,0.4804530139182014,1.0,1,1,172.71666666666667
trigger_in_post_author_to_seed,No_Grand2719,0.4804530139182014,1.0,1,1,11.266666666666667
trigger_in_post_author_to_seed,Embarrassed_Bee_615,0.4804530139182014,1.0,1,1,716.7333333333333
trigger_out_seed_to_responder,LordIommi68,0.2538333368062697,0.3333333333333333,1,2,1638.9833333333331
trigger_out_seed_to_responder,Performanodd85,0.1601510046394004,0.3333333333333333,1,1,84.78333333333333
trigger_out_seed_to_responder,lol_camis,0.1601510046394004,0.3333333333333333,1,1,354.28333333333336
trigger_out_seed_to_responder,juantam0d,0.1601510046394004,0.3333333333333333,1,1,41.95
trigger_out_seed_to_responder,honogica,0.1601510046394004,0.3333333333333333,1,1,426.06666666666666
trigger_out_seed_to_responder,dilvj88,0.1601510046394004,0.3333333333333333,1,1,332.8833333333333
trigger_out_seed_to_responder,desexmachina,0.1601510046394004,0.3333333333333333,1,1,946.8833333333332
trigger_out_seed_to_responder,bitconym,0.1601510046394004,0.3333333333333333,1,1,966.75
trigger_out_seed_to_responder,betogess,0.1601510046394004,0.3333333333333333,1,1,57.9
trigger_out_seed_to_responder,barnsligpark,0.1601510046394004,0.3333333333333333,1,1,104.16666666666669
trigger_out_seed_to_responder,akels11,0.1601510046394004,0.3333333333333333,1,1,288.5833333333333
trigger_out_seed_to_responder,VortexTJcom,0.1601510046394004,0.3333333333333333,1,1,841.4
trigger_out_seed_to_responder,TtradesTOwin,0.1601510046394004,0.3333333333333333,1,1,127.61666666666666
trigger_out_seed_to_responder,Throw_andthenews,0.1601510046394004,0.3333333333333333,1,1,579.3
trigger_out_seed_to_responder,ThisCommentIsHere,0.1601510046394004,0.3333333333333333,1,1,64.95
