relation,neighbor,weight_trigger_response,response_coverage,posts_with_b_comment,b_total_comments_on_a_posts,median_response_delay_minutes
trigger_in_post_author_to_seed,FairShotFinance,0.4804530139182014,1.0,1,1,387.68333333333334
trigger_in_post_author_to_seed,Not-a-Mountain,0.4804530139182014,1.0,1,1,536.7166666666667
trigger_in_post_author_to_seed,Reader998,0.4804530139182014,1.0,1,1,573.7333333333333
trigger_in_post_author_to_seed,Rock2Rock,0.4804530139182014,1.0,1,1,106.91666666666669
trigger_in_post_author_to_seed,SpenzerMalkav,0.4804530139182014,1.0,1,1,2023.6833333333336
trigger_in_post_author_to_seed,TheWooders,0.4804530139182014,1.0,1,1,33.9
trigger_in_post_author_to_seed,area51bros,0.4804530139182014,1.0,1,1,537.85
trigger_in_post_author_to_seed,darkwolff38,0.4804530139182014,1.0,1,1,95.4
trigger_in_post_author_to_seed,jn92082,0.4804530139182014,1.0,1,1,14.0
trigger_in_post_author_to_seed,sirspeedy99,0.4804530139182014,1.0,1,1,1719.3333333333333
trigger_in_post_author_to_seed,teerii27,0.4804530139182014,1.0,1,1,121.06666666666666
trigger_in_post_author_to_seed,twohundred37,0.4804530139182014,1.0,1,1,898.9
trigger_in_post_author_to_seed,ukpfmodsneedalife,0.4804530139182014,1.0,1,1,96.71666666666668
trigger_in_post_author_to_seed,Interesting_Pin3258,0.4804530139182014,1.0,1,1,207.26666666666668
trigger_in_post_author_to_seed,Own_Ear8168,0.2402265069591007,0.5,1,1,209.26666666666668
trigger_out_seed_to_responder,ThinNeighborhood2276,0.8046326405417213,0.6666666666666666,2,2,1995.8333333333333
trigger_out_seed_to_responder,bigbagdude,0.8046326405417213,0.6666666666666666,2,2,296.0083333333333
trigger_out_seed_to_responder,tha_real_rocknrolla,0.1601510046394004,0.3333333333333333,1,1,106.86666666666666
trigger_out_seed_to_responder,bananabastard,0.1601510046394004,0.3333333333333333,1,1,310.71666666666664
trigger_out_seed_to_responder,NFTY_GIFTY,0.1601510046394004,0.3333333333333333,1,1,218.7
trigger_out_seed_to_responder,Ok-Landscape-1681,0.1601510046394004,0.3333333333333333,1,1,456.2
trigger_out_seed_to_responder,Ok-Secret-4646,0.1601510046394004,0.3333333333333333,1,1,79.43333333333334
trigger_out_seed_to_responder,PatCake,0.1601510046394004,0.3333333333333333,1,1,150.3
trigger_out_seed_to_responder,Public-Lingonberry-2,0.1601510046394004,0.3333333333333333,1,1,68.93333333333334
trigger_out_seed_to_responder,Quirky-Reveal-1669,0.1601510046394004,0.3333333333333333,1,1,6.1
trigger_out_seed_to_responder,Street-Technology-93,0.1601510046394004,0.3333333333333333,1,1,96.91666666666669
trigger_out_seed_to_responder,SuccessfulRing5425,0.1601510046394004,0.3333333333333333,1,1,2024.4833333333331
trigger_out_seed_to_responder,Tarado96,0.1601510046394004,0.3333333333333333,1,1,133.88333333333333
trigger_out_seed_to_responder,TrayLaTrash,0.1601510046394004,0.3333333333333333,1,1,87.71666666666667
trigger_out_seed_to_responder,Tressent,0.1601510046394004,0.3333333333333333,1,1,1437.8833333333334
