neighbor,weight,relation
InformationOrganic60,0.3867809426536276,co_target
CrustyBus77,0.3732406590580632,co_target
flossanotherday,0.3705584218120179,co_target
Confident-Land4117,0.3637903743622674,co_target
NectarineDirect936,0.3614620807938503,co_target
FrivolerFridolin,0.3608493816696372,co_target
R3dFiveStandingBye,0.3580852838883092,co_target
iamacheeto1,0.3580774647977068,co_target
eetaylog,0.3535995047530506,co_target
dirodvstw,0.3517798291503879,co_target
Pugilist12,0.3507948904421699,co_target
No_Sort_130,0.3445243020271659,co_target
Frequent_Staff2896,0.3443758160753625,co_target
TheMoonMoth,0.342552954352421,co_target
rtublin,0.3413920569229775,co_target
BitcoinFreedom1776,0.2156655464068768,co_negative_target
Impressive-Cat-3144,0.2156655464068768,co_negative_target
No-Recipe-4578,0.2156655464068768,co_negative_target
Technical_Moose8478,0.2156655464068768,co_negative_target
kundaliniredneck1,0.2156655464068768,co_negative_target
turdturd1,0.2156655464068768,co_negative_target
Writer-105,1.0,tag_similarity
FoundOnExit9Teen,0.9871331309310906,tag_similarity
dan7777777,0.9839126569455376,tag_similarity
ndojd,0.9794333717200584,tag_similarity
Different_Play_623,0.9789903453081964,tag_similarity
Teraninia,0.9717600593312457,tag_similarity
Alternative_Belt325,0.971190669682041,tag_similarity
Avocado_Ash,0.9700799782067178,tag_similarity
JoeB34,0.969584623345094,tag_similarity
Rolldice08,0.966922279376922,tag_similarity
surrogate_uprising,0.9646798608138012,tag_similarity
jonnyCFP,0.9643692472555792,tag_similarity
Old-Championship-324,0.9627747056459708,tag_similarity
ProtonicusPrime,0.9591540264006094,tag_similarity
KevSanders,0.9588041581508896,tag_similarity
