group_seed,total_pairs,strong_temporal_sync,moderate_temporal_sync,weak_temporal_overlap,no_temporal_sync,robust_temporal_pairs,moderate_review_temporal_pairs,fragile_temporal_pairs
Any-Regular2960,6,0,0,5,1,0,0,0
BeefSupreme2,6,0,0,5,1,0,0,1
BtcKing1111,55,2,1,26,26,0,5,1
Covetoast,6,1,0,4,1,0,1,2
Different_Walrus_574,21,0,0,8,13,0,0,0
DuckDuckMosss,3,0,0,1,2,0,0,0
Local_Doubt_4029,28,0,0,19,9,0,0,0
Odd-Following-247,55,0,0,40,15,0,0,3
Sweet-Hat-7946,10,0,1,2,7,0,2,0
Wsemenske,21,0,0,12,9,0,3,0
abercrombezie,66,1,0,14,51,0,2,1
harvested,28,1,0,4,23,1,0,0
iPurchaseBitcoin,21,1,0,20,0,1,0,0
lol_camis,253,4,0,68,181,0,10,3
onebtcisonebtc,36,0,0,13,23,0,2,0
sirspeedy99,66,0,0,21,45,0,5,1
skydiver19,91,0,1,33,57,0,2,1
tkwh,120,2,2,86,30,0,9,3
tzacPACO,15,0,3,12,0,1,2,1
vnielz,21,1,0,10,10,0,1,1
