relation,neighbor,weight_trigger_response,response_coverage,posts_with_b_comment,b_total_comments_on_a_posts,median_response_delay_minutes
trigger_in_post_author_to_seed,Abrraxas,0.4804530139182014,1.0,1,1,86.0
trigger_in_post_author_to_seed,autofocus111,0.4804530139182014,1.0,1,1,440.05
trigger_in_post_author_to_seed,Silly_Combination436,0.4804530139182014,1.0,1,1,70.8
trigger_in_post_author_to_seed,Slabcitydreamin,0.4804530139182014,1.0,1,1,800.15
trigger_in_post_author_to_seed,TemporaryMission322,0.4804530139182014,1.0,1,1,179.41666666666666
trigger_in_post_author_to_seed,TetonMovements,0.4804530139182014,1.0,1,1,528.6666666666666
trigger_in_post_author_to_seed,Toedmc,0.4804530139182014,1.0,1,1,19.233333333333334
trigger_in_post_author_to_seed,Top_Tip_596,0.4804530139182014,1.0,1,1,2.7
trigger_in_post_author_to_seed,Twa_In_The_Bush,0.4804530139182014,1.0,1,1,1535.45
trigger_in_post_author_to_seed,WatersmileD,0.4804530139182014,1.0,1,1,18.733333333333334
trigger_in_post_author_to_seed,area51bros,0.4804530139182014,1.0,1,1,51.06666666666667
trigger_in_post_author_to_seed,asmx85,0.4804530139182014,1.0,1,1,212.85
trigger_in_post_author_to_seed,babuu525,0.4804530139182014,1.0,1,1,529.9833333333333
trigger_in_post_author_to_seed,Purple-Net-6382,0.4804530139182014,1.0,1,1,469.75
trigger_in_post_author_to_seed,crayon_smell,0.4804530139182014,1.0,1,1,333.3833333333333
trigger_out_seed_to_responder,Angus-420,0.4434950897706474,0.2307692307692307,3,3,1091.1
trigger_out_seed_to_responder,Callahammered,0.185684455509628,0.1538461538461538,2,2,777.7416666666667
trigger_out_seed_to_responder,Confident_Worker_203,0.185684455509628,0.1538461538461538,2,2,558.5083333333333
trigger_out_seed_to_responder,FinancialIntern4326,0.185684455509628,0.1538461538461538,2,2,407.775
trigger_out_seed_to_responder,Mantis-Prawn,0.185684455509628,0.1538461538461538,2,2,2.375
trigger_out_seed_to_responder,Sweet-Hat-7946,0.185684455509628,0.1538461538461538,2,2,413.55833333333334
trigger_out_seed_to_responder,BashCo,0.185684455509628,0.1538461538461538,2,2,159.42499999999998
trigger_out_seed_to_responder,Jrt4974,0.0858136424069216,0.0769230769230769,1,4,310.3833333333333
trigger_out_seed_to_responder,SmoothGoing,0.0585769238783699,0.0769230769230769,1,2,526.2333333333333
trigger_out_seed_to_responder,Ofiller,0.0585769238783699,0.0769230769230769,1,2,12.466666666666669
trigger_out_seed_to_responder,anon_chieftain,0.0369579241475539,0.0769230769230769,1,1,149.76666666666668
trigger_out_seed_to_responder,anthony_yager,0.0369579241475539,0.0769230769230769,1,1,2447.1
trigger_out_seed_to_responder,bicyclemycology,0.0369579241475539,0.0769230769230769,1,1,195.9
trigger_out_seed_to_responder,asadafaga,0.0369579241475539,0.0769230769230769,1,1,626.25
trigger_out_seed_to_responder,asterothe1905,0.0369579241475539,0.0769230769230769,1,1,393.93333333333334
