relation,neighbor,weight_trigger_response,response_coverage,posts_with_b_comment,b_total_comments_on_a_posts,median_response_delay_minutes
trigger_in_post_author_to_seed,KuromiFan0202,0.761500010418809,1.0,1,2,200.55
trigger_in_post_author_to_seed,MetalPopular4585,0.761500010418809,1.0,1,2,7.116666666666666
trigger_in_post_author_to_seed,keepitahunned,0.4804530139182014,1.0,1,1,8.616666666666667
trigger_in_post_author_to_seed,Still-Extreme-9149,0.4804530139182014,1.0,1,1,291.0833333333333
trigger_in_post_author_to_seed,Sulpho,0.4804530139182014,1.0,1,1,374.3333333333333
trigger_in_post_author_to_seed,babuu525,0.4804530139182014,1.0,1,1,309.3333333333333
trigger_in_post_author_to_seed,codexTKO,0.4804530139182014,1.0,1,1,771.5833333333334
trigger_in_post_author_to_seed,en7mble,0.4804530139182014,1.0,1,1,8.0
trigger_in_post_author_to_seed,grande_sequoia,0.4804530139182014,1.0,1,1,320.48333333333335
trigger_in_post_author_to_seed,gyro1312,0.4804530139182014,1.0,1,1,155.43333333333334
trigger_in_post_author_to_seed,hosseinz,0.4804530139182014,1.0,1,1,47.166666666666664
trigger_in_post_author_to_seed,huntsman1123,0.4804530139182014,1.0,1,1,540.4833333333333
trigger_in_post_author_to_seed,maddieQT998,0.4804530139182014,1.0,1,1,12.55
trigger_in_post_author_to_seed,Reasonable_Cry3842,0.4804530139182014,1.0,1,1,158.95
trigger_in_post_author_to_seed,mannersfirst76,0.4804530139182014,1.0,1,1,1147.6833333333334
trigger_out_seed_to_responder,rBitcoinMod,1.1530872334036837,0.6,3,3,24.983333333333334
trigger_out_seed_to_responder,OkBad4259,0.0960906027836402,0.2,1,1,201.33333333333337
trigger_out_seed_to_responder,Traditional_Lab_6754,0.0960906027836402,0.2,1,1,939.2833333333332
trigger_out_seed_to_responder,Troubadour1990,0.0960906027836402,0.2,1,1,972.7833333333332
trigger_out_seed_to_responder,True-Whereas6812,0.0960906027836402,0.2,1,1,354.5
trigger_out_seed_to_responder,TtradesTOwin,0.0960906027836402,0.2,1,1,610.4
trigger_out_seed_to_responder,TyronetheWise,0.0960906027836402,0.2,1,1,423.6333333333333
trigger_out_seed_to_responder,Ultimo_Ninja,0.0960906027836402,0.2,1,1,841.3333333333334
trigger_out_seed_to_responder,Unlikely-Bear,0.0960906027836402,0.2,1,1,319.5833333333333
trigger_out_seed_to_responder,Unlucky-Citron-2053,0.0960906027836402,0.2,1,1,134.0
trigger_out_seed_to_responder,Western_Technology68,0.0960906027836402,0.2,1,1,22.616666666666667
trigger_out_seed_to_responder,WhoAmImEverything,0.0960906027836402,0.2,1,1,19.316666666666663
trigger_out_seed_to_responder,Woodstuffs,0.0960906027836402,0.2,1,1,235.1
trigger_out_seed_to_responder,WrongStop2322,0.0960906027836402,0.2,1,1,676.5166666666667
trigger_out_seed_to_responder,Zombie4141,0.0960906027836402,0.2,1,1,824.25
