seed,neighbor,shared_target_count,shared_target_weight_sum,shared_targets
abercrombezie,my-name-is-mine,2,1.2130075659799042,"Obvious_Department10, 8A8"
abercrombezie,JoMadrid13,2,1.178350206951907,"Fun-Technology-1371, Fallini47"
abercrombezie,soundsandsights,2,1.0397207708399179,"relaiapp, Tonyalarm"
abercrombezie,Lord_Alamar,2,0.8664339756999315,"Fun-Technology-1371, DuckDuckMosss"
abercrombezie,AccomplishedScheme82,2,0.8664339756999315,"Mobile-Ad-68, Obvious_Department10"
abercrombezie,Hot_Molasses_4006,2,0.8664339756999315,"Mobile-Ad-68, Obvious_Department10"
abercrombezie,helloipoo,2,0.6931471805599452,"Fun-Technology-1371, Tonyalarm"
abercrombezie,jasperCrow,2,0.6931471805599452,"8A8, Tonyalarm"
abercrombezie,JustinPooDough,2,0.6931471805599452,"8A8, Tonyalarm"
abercrombezie,Significant_Book1672,2,0.6931471805599452,"foreverdark666, relaiapp"
abercrombezie,Typical-Street-6496,1,0.6931471805599453,foreverdark666
abercrombezie,KingPettyx,1,0.3465735902799726,Altruistic-Loan-2271
abercrombezie,eetaylog,1,0.3465735902799726,relaiapp
abercrombezie,YLCZ,1,0.3465735902799726,Fallini47
abercrombezie,N00bpwner6969,0,0.0,
abercrombezie,TheAscensionLattice,0,0.0,
abercrombezie,Soi_Boi_13,0,0.0,
abercrombezie,Pugilist12,0,0.0,
abercrombezie,derek985,0,0.0,
abercrombezie,eyedude2898,0,0.0,
abercrombezie,Lord_WSB_,0,0.0,
abercrombezie,FrivolerFridolin,0,0.0,
abercrombezie,Project2025IsOn,0,0.0,
abercrombezie,Particular_Lab_151,0,0.0,
abercrombezie,Ancient_Potential_96,0,0.0,
abercrombezie,antigios,0,0.0,
abercrombezie,tommyboy11011,0,0.0,
abercrombezie,smartaiai,0,0.0,
abercrombezie,skydiver19,0,0.0,
abercrombezie,Narrow-Surround-8416,0,0.0,
abercrombezie,OTCWATCH,0,0.0,
abercrombezie,Altruistic-Loan-2271,0,0.0,
abercrombezie,Odd-Following-247,0,0.0,
abercrombezie,OrganizationLoud8722,0,0.0,
abercrombezie,noagendamarket,0,0.0,
abercrombezie,Wide_Operation_4785,0,0.0,
abercrombezie,MitchOnRed,0,0.0,
abercrombezie,cryptomummum,0,0.0,
