neighbor,weight,relation
R3dFiveStandingBye,0.6420278770176293,co_target
NectarineDirect936,0.6314066054223066,co_target
Middle____Earth,0.6169180303602123,co_target
rtublin,0.6061334972827698,co_target
Traditional-Bed-6369,0.6054954920196421,co_target
FrivolerFridolin,0.6009493520037411,co_target
cheese20202,0.5981697601495333,co_target
TheMoonMoth,0.5928090385180866,co_target
eetaylog,0.5920124442227279,co_target
Frequent_Staff2896,0.5777018877019132,co_target
BaldDragonSlayer,0.551799778670883,co_target
SmokeAndSkate,0.5336253123348503,co_target
Confident-Land4117,0.5103205606707768,co_target
PheelGoodInc,0.4993327661827449,co_target
Relevant-Kangaroo-85,0.4976227093281022,co_target
rtublin,0.3848666843036719,co_negative_target
NectarineDirect936,0.3351095355268196,co_negative_target
CoolPineapple6969,0.2181264877257022,co_negative_target
Fabulous-Chard3987,0.2181264877257022,co_negative_target
GooseBash,0.2181264877257022,co_negative_target
autemox,0.2181264877257022,co_negative_target
wish_I_knew_before-1,0.2181264877257022,co_negative_target
Bus1nessn00b,1.0,tag_similarity
FuelZestyclose3541,1.0,tag_similarity
No-Cow-408,0.9993334582358432,tag_similarity
AttentionSpanGamer,0.9971641204866132,tag_similarity
Volsen36,0.9932165879753156,tag_similarity
BringerOfRainsn,0.9816168228909352,tag_similarity
New-Basil-8889,0.9782419277768564,tag_similarity
NoFly3972,0.9686084941624328,tag_similarity
Bit_Fucked,0.9675255872322271,tag_similarity
fanzakh,0.9648765229701666,tag_similarity
spilltrend,0.9613909952961396,tag_similarity
InfiniteMonkeySage,0.9532151352103236,tag_similarity
very_452001,0.95032671525886,tag_similarity
Mobile-Passenger3214,0.9278630790001836,tag_similarity
