neighbor,weight,relation
_Zzik_,0.2430223607736704,co_target
Glad_Cauliflower8032,0.2146157028621805,co_target
CryptoFourGames,0.2033681195198976,co_target
EloquentMrE,0.1794472382615773,co_target
Drcfan,0.1761219578241013,co_target
NeonsTheory,0.1761219578241013,co_target
Alice_D_Wonderland,0.1752329876003712,co_target
Expensive-Bet-3764,0.1752329876003712,co_target
Gullible-Tie7535,0.1745499344109207,co_target
AshtonChef28,0.1660493742576976,co_target
ChillPlay3r,0.1660493742576976,co_target
Healthcare--Hitman,0.1660493742576976,co_target
MNCPA,0.1660493742576976,co_target
SnooPears367,0.1660493742576976,co_target
Wreth_,0.1660493742576976,co_target
Basic_Professor2650,0.3378299530160344,co_negative_target
_Zzik_,0.3378299530160344,co_negative_target
CilicianKnightAni,0.2987187771381671,co_negative_target
SXYBZZT,0.2698684662355929,co_negative_target
Lurchco3953,0.2572488173806996,co_negative_target
ConfidenceOk5160,0.2435946707925589,co_negative_target
DentedDemonCore,0.2435946707925589,co_negative_target
Dismal-Grapefruit966,0.2435946707925589,co_negative_target
AmphibianAway8217,0.230828357214681,co_negative_target
M3Seriesz,0.230828357214681,co_negative_target
NikEy,0.230828357214681,co_negative_target
gomurifle,0.230828357214681,co_negative_target
turdturd1,0.230828357214681,co_negative_target
CashFlowOrBust,0.2109591731328632,co_negative_target
ChipNDipPlus,0.2109591731328632,co_negative_target
Get_the_nak,0.9999999999999998,tag_similarity
LordIommi68,0.9999762862721197,tag_similarity
d8_thc,0.9999762862721197,tag_similarity
BreadJohnson1991,0.9991088665985876,tag_similarity
bearCatBird,0.9991088665985876,tag_similarity
neilapril1987,0.998241384687404,tag_similarity
prodbyjeva,0.9951984547422016,tag_similarity
Specialist_Key6832,0.985533641995416,tag_similarity
AyeMiracle,0.9838491370057458,tag_similarity
mistercheez2000,0.9835299486787386,tag_similarity
Capable_Sherbet8987,0.972901224906862,tag_similarity
FutureEmployment1268,0.9723523447434584,tag_similarity
dinglefx,0.95783795962567,tag_similarity
Confident_Humor_8135,0.957000540239174,tag_similarity
v46ab0nd,0.94457508872089,tag_similarity
