source_author,target_author,shared_target_count,weight_co_target,layer,weight_co_negative_target
Anzu_Yamasaki,zxsmart,2,0.2773647757031753,co_target,
_Zzik_,lol_camis,3,0.2430223607736704,co_target,
Lurchco3953,TechHonie,3,0.1565518277627291,co_target,
ConfidenceOk5160,SXYBZZT,2,,co_negative_target,0.7025932399709076
Dismal-Grapefruit966,SXYBZZT,2,,co_negative_target,0.7025932399709076
ConfidenceOk5160,Dismal-Grapefruit966,2,,co_negative_target,0.6666666666666666
Born-Chipmunk-7086,SXYBZZT,2,,co_negative_target,0.5442263835130472
Born-Chipmunk-7086,ConfidenceOk5160,2,,co_negative_target,0.5163977794943222
Born-Chipmunk-7086,Dismal-Grapefruit966,2,,co_negative_target,0.5163977794943222
SXYBZZT,brainrotbro,2,,co_negative_target,0.5099564738458742
ConfidenceOk5160,brainrotbro,2,,co_negative_target,0.4603082423738035
Dismal-Grapefruit966,brainrotbro,2,,co_negative_target,0.4603082423738035
DentedDemonCore,TechHonie,2,,co_negative_target,0.4219183462657265
Born-Chipmunk-7086,brainrotbro,2,,co_negative_target,0.3565532313671496
Basic_Professor2650,lol_camis,3,,co_negative_target,0.3378299530160344
_Zzik_,lol_camis,3,,co_negative_target,0.3378299530160344
CilicianKnightAni,lol_camis,2,,co_negative_target,0.2987187771381671
TechHonie,zxsmart,2,,co_negative_target,0.2704495317176025
SXYBZZT,lol_camis,2,,co_negative_target,0.2698684662355929
Lurchco3953,lol_camis,2,,co_negative_target,0.2572488173806996
ChipNDipPlus,user_name_checks_out,2,,co_negative_target,0.2570329961737055
ConfidenceOk5160,lol_camis,2,,co_negative_target,0.2435946707925589
DentedDemonCore,lol_camis,2,,co_negative_target,0.2435946707925589
Dismal-Grapefruit966,lol_camis,2,,co_negative_target,0.2435946707925589
CilicianKnightAni,user_name_checks_out,2,,co_negative_target,0.2420268269714973
AmphibianAway8217,lol_camis,2,,co_negative_target,0.230828357214681
M3Seriesz,lol_camis,2,,co_negative_target,0.230828357214681
NikEy,lol_camis,2,,co_negative_target,0.230828357214681
gomurifle,lol_camis,2,,co_negative_target,0.230828357214681
lol_camis,turdturd1,2,,co_negative_target,0.230828357214681
CashFlowOrBust,lol_camis,2,,co_negative_target,0.2109591731328632
ChipNDipPlus,lol_camis,2,,co_negative_target,0.2109591731328632
choppedyota,lol_camis,2,,co_negative_target,0.2109591731328632
TechHonie,lol_camis,3,,co_negative_target,0.208203611863458
Anzu_Yamasaki,zxsmart,2,,co_negative_target,0.2028462866947918
Anzu_Yamasaki,lol_camis,3,,co_negative_target,0.2005972683062704
