neighbor,weight,relation
Dudebro21000000,0.279406144717754,co_target
Grunblau,0.2485927902113182,co_target
Romanizer,0.2376503530403677,co_target
alfonsomg,0.2345544570182787,co_target
notapaperhandape,0.2339261728489081,co_target
Ted_Ox,0.2301355086025271,co_target
Abx13523,0.2298447152752897,co_target
BITMiningLimited,0.2298447152752897,co_target
hello-operatorz,0.2298447152752897,co_target
mirob2,0.2298447152752897,co_target
Prize_North_759,0.2253979152007769,co_target
weallwinoneday,0.2245994303615932,co_target
Brendan056,0.2210461080852169,co_target
walkinyardsale,0.2180498425268432,co_target
Objective-Win7524,0.2140660975983324,co_target
bestjaegerpilot,0.4714045207910317,co_negative_target
Biggie_Nuf,0.3849001794597505,co_negative_target
PunkerWannaBe,0.3849001794597505,co_negative_target
jamesnaranja90,0.3849001794597505,co_negative_target
MatchboxVader22,0.3333333333333333,co_negative_target
bryanchicken,0.2357022603955158,co_negative_target
punppis,1.0,tag_similarity
MaddenMike,0.9992062103793892,tag_similarity
United-Sky1296,0.9991088665985876,tag_similarity
david-milionaire-03,0.9984427709212876,tag_similarity
Firm_Substance_1506,0.9927777575601616,tag_similarity
Big-Ratio7713,0.9912407071619304,tag_similarity
QuantumHavoc,0.98429031228101,tag_similarity
cashmoneyv1,0.9819805060619656,tag_similarity
Franktradingxmback,0.970145289702706,tag_similarity
ed4g,0.9683006310306368,tag_similarity
HellYeahDamnWrite,0.957427107756338,tag_similarity
webstryker,0.9569896267612534,tag_similarity
brdbrd1,0.9540299576916652,tag_similarity
wipoooo,0.9453104842449588,tag_similarity
Parkshinhye20,0.8535181634161292,tag_similarity
