seed,candidate_member_count,tiered_expansion_member_count,tier1_co_negative_count,tier2_tag_with_structure_count,tier3_trigger_with_support_count,tier4_two_hop_count,co_target_neighbor_count,co_negative_neighbor_count,tag_similarity_neighbor_count,internal_coordination_edge_count,shared_negative_target_count,avg_rhetorical_score,avg_non_neutral_post_ratio,avg_oppositional_stance_ratio,automation_anomaly_fraction,avg_anomaly_score,total_comment_count,total_analyzed_post_count
BtcKing1111,11,11,6,0,0,4,15,6,15,18,13,5.786713286713287,0.18181818181818182,0.5873814304364265,0.36363636363636365,-0.6566250959473641,460.0,17.0
Wsemenske,7,7,5,0,0,1,15,5,11,10,9,5.714285714285714,0.2857142857142857,0.386267327443798,0.42857142857142855,-1.8881434403251434,136.0,4.0
tkwh,16,16,11,0,0,4,15,11,15,31,19,3.125,0.0625,0.524858400442997,0.1875,1.494174880762833,286.0,4.0
Any-Regular2960,4,4,3,0,0,0,15,3,0,3,4,8.75,0.25,0.37266617790811335,0.25,-19.15027502826903,122.0,2.0
Covetoast,4,4,3,0,0,0,15,3,12,6,8,12.8125,0.25,0.35074404761904754,0.25,-2.878455213502326,100.0,4.0
skydiver19,14,14,12,0,0,1,14,12,12,16,20,7.023809523809524,0.14285714285714285,0.49569091331171167,0.07142857142857142,1.983800050364205,206.0,5.0
sirspeedy99,12,12,11,0,0,0,14,11,0,14,17,7.25,0.16666666666666666,0.6351190476190477,0.25,1.6307171647832401,118.0,9.0
lol_camis,23,23,18,0,0,4,15,15,15,36,25,3.5869565217391304,0.13043478260869565,0.5245355563483302,0.2608695652173913,0.7184049168765618,465.0,10.0
tzacPACO,6,6,5,0,0,0,14,5,11,10,8,11.388888888888888,0.3055555555555556,0.488562601062601,0.3333333333333333,-0.02878841732716871,187.0,9.0
abercrombezie,12,12,11,0,0,0,15,11,12,15,14,1.9444444444444444,0.08333333333333333,0.6013912898540626,0.08333333333333333,1.7915627319023617,214.0,5.0
onebtcisonebtc,9,9,6,0,0,2,15,6,15,12,8,3.888888888888889,0.2222222222222222,0.3860528571154757,0.2222222222222222,0.4983447385219637,250.0,5.0
vnielz,7,7,6,0,0,0,15,6,15,6,8,4.761904761904762,0.14285714285714285,0.41697298044603437,0.2857142857142857,0.9575980661949508,202.0,4.0
Sweet-Hat-7946,5,5,4,0,0,0,15,4,15,4,9,7.142857142857143,0.2,0.4764661540780944,0.2,1.1963388980910121,109.0,8.0
harvested,8,8,7,0,0,0,15,7,14,9,11,4.375,0.125,0.38447665084461813,0.25,-0.2833125772306244,402.0,2.0
Local_Doubt_4029,8,8,7,0,0,0,15,7,15,9,12,14.270833333333332,0.25,0.6483134920634921,0.125,1.8444999880076196,97.0,6.0
BeefSupreme2,4,4,3,0,0,0,15,3,13,3,7,9.166666666666666,0.25,0.30516651104886394,0.25,-1.0655464026372696,92.0,3.0
iPurchaseBitcoin,7,7,3,0,0,3,15,3,15,11,6,6.565934065934066,0.25,0.41449025934075756,0.5714285714285714,-0.8070782917025978,232.0,30.0
Odd-Following-247,11,11,7,0,0,3,11,7,15,24,15,9.181818181818182,0.18181818181818182,0.7871003265740107,0.09090909090909091,1.8489465305506856,170.0,6.0
Different_Walrus_574,7,7,5,0,0,1,11,5,14,7,11,9.047619047619047,0.23809523809523808,0.3986629298768027,0.2857142857142857,-0.1112194880408998,248.0,11.0
DuckDuckMosss,3,3,2,0,0,0,15,2,15,2,9,15.0,0.3333333333333333,0.6166666666666667,0.3333333333333333,0.05371805002325406,87.0,8.0
