source_author,target_author,shared_target_count,weight_co_target,layer,weight_co_negative_target
ghgrain,skydiver19,2,0.1825741858350553,co_target,
GoodResident2000,skydiver19,2,,co_negative_target,0.2581988897471612
skydiver19,ultra_annoymnuos,3,,co_negative_target,0.253546276418555
Rshellnizzle,ultra_annoymnuos,2,,co_negative_target,0.2519763153394848
tibbon,ultra_annoymnuos,2,,co_negative_target,0.2519763153394848
skydiver19,tibbon,3,,co_negative_target,0.223606797749979
MushroomDizzy649,skydiver19,2,,co_negative_target,0.223606797749979
United-Blackberry-77,skydiver19,2,,co_negative_target,0.223606797749979
codemonkeysh,skydiver19,2,,co_negative_target,0.223606797749979
ghgrain,skydiver19,2,,co_negative_target,0.223606797749979
grajnapc,skydiver19,2,,co_negative_target,0.223606797749979
Rshellnizzle,tibbon,2,,co_negative_target,0.2222222222222222
CatsGotANosebleed,skydiver19,2,,co_negative_target,0.2
ExpensiveAd4496,skydiver19,2,,co_negative_target,0.2
Opposite_Attorney122,skydiver19,2,,co_negative_target,0.2
damiracle_NR,skydiver19,2,,co_negative_target,0.2
