neighbor,weight,relation
Jemtex,0.2981423969999719,co_target
Vimes-NW,0.2981423969999719,co_target
miksis44,0.2981423969999719,co_target
HauntingBirthday1455,0.2581988897471611,co_target
shaddowkhan,0.2581988897471611,co_target
thejadedcitizen,0.2581988897471611,co_target
harrysnow81,0.2108185106778919,co_target
chagster001,0.1951800145897066,co_target
oprahfinallykickedit,0.1951800145897066,co_target
AdIntelligent114,0.1825741858350553,co_target
brianx87,0.1825741858350553,co_target
BrowneAction,0.172132593164774,co_target
Serious-Rutabaga-195,0.172132593164774,co_target
You3betI4bet,0.172132593164774,co_target
separabis,0.172132593164774,co_target
Illustrious-Use-5650,0.4082482904638631,co_negative_target
TinSodder,0.3333333333333333,co_negative_target
devonthed00d,0.3333333333333333,co_negative_target
jayvm01,0.3333333333333333,co_negative_target
JustSmokin702,0.2886751345948128,co_negative_target
mookizee,0.2611164839335467,co_negative_target
mikeso623,0.2357022603955158,co_negative_target
1025scrap,0.2182178902359923,co_negative_target
Silly-Economist47,0.2182178902359923,co_negative_target
buffwhoppulus,0.2182178902359923,co_negative_target
753UDKM,0.2041241452319315,co_negative_target
LeftBumblebee5946,0.9997107736743552,tag_similarity
Jayrovers86,0.9920029349220928,tag_similarity
Illustrious_Stand319,0.9889406224461808,tag_similarity
birjy,0.9848184394639397,tag_similarity
Dragon_slayer1994,0.9824330728020324,tag_similarity
L6V9,0.9812205378074802,tag_similarity
neo69654,0.9798530330667334,tag_similarity
xtexm,0.9768406533899454,tag_similarity
WinOutrageous1190,0.9766214442113872,tag_similarity
Earth_Vast,0.9750695333511302,tag_similarity
Chocolate-IceMocha,0.974416232274519,tag_similarity
Longjumping-Baker-25,0.9722363004246322,tag_similarity
GGCaaeb,0.9715302500033326,tag_similarity
Western-Set-8642,0.9658329444105198,tag_similarity
Longjumping_Pick_648,0.9595443337198252,tag_similarity
