source_author,target_author,shared_target_count,weight_co_target,layer,weight_co_negative_target
TinSodder,mookizee,3,0.2401922307076306,co_target,
753UDKM,El_Demetrio,3,0.1825741858350553,co_target,
AdventurousSwim1381,Silly-Economist47,2,0.1662438013217441,co_target,
753UDKM,jayvm01,2,,co_negative_target,0.4082482904638631
Illustrious-Use-5650,tkwh,2,,co_negative_target,0.4082482904638631
abnormalinvesting,devonthed00d,2,,co_negative_target,0.3651483716701107
abnormalinvesting,jayvm01,2,,co_negative_target,0.3651483716701107
El_Demetrio,jayvm01,2,,co_negative_target,0.3481553119113956
jayvm01,mookizee,2,,co_negative_target,0.3481553119113956
TinSodder,tkwh,2,,co_negative_target,0.3333333333333333
devonthed00d,tkwh,2,,co_negative_target,0.3333333333333333
jayvm01,tkwh,2,,co_negative_target,0.3333333333333333
Silly-Economist47,mikeso623,2,,co_negative_target,0.3086066999241837
mookizee,uthillygooth,3,,co_negative_target,0.3015113445777636
JustSmokin702,tkwh,2,,co_negative_target,0.2886751345948128
abnormalinvesting,mookizee,3,,co_negative_target,0.2860387767736776
mikeso623,uthillygooth,2,,co_negative_target,0.2721655269759087
mookizee,tkwh,3,,co_negative_target,0.2611164839335467
Silly-Economist47,uthillygooth,2,,co_negative_target,0.2519763153394848
mikeso623,mookizee,2,,co_negative_target,0.2461829819586654
mikeso623,tkwh,2,,co_negative_target,0.2357022603955158
Silly-Economist47,mookizee,2,,co_negative_target,0.2279211529192758
753UDKM,abnormalinvesting,2,,co_negative_target,0.2236067977499789
1025scrap,tkwh,2,,co_negative_target,0.2182178902359923
AdventurousSwim1381,Silly-Economist47,2,,co_negative_target,0.2182178902359923
Silly-Economist47,tkwh,2,,co_negative_target,0.2182178902359923
buffwhoppulus,tkwh,2,,co_negative_target,0.2182178902359923
753UDKM,El_Demetrio,2,,co_negative_target,0.2132007163556104
753UDKM,mookizee,2,,co_negative_target,0.2132007163556104
753UDKM,AdventurousSwim1381,2,,co_negative_target,0.2041241452319315
753UDKM,tkwh,2,,co_negative_target,0.2041241452319315
