relation,neighbor,weight_trigger_response,response_coverage,posts_with_b_comment,b_total_comments_on_a_posts,median_response_delay_minutes
trigger_in_post_author_to_seed,Any-Regular2960,0.4804530139182014,1.0,1,1,34.38333333333333
trigger_in_post_author_to_seed,Practical_Two_6398,0.4804530139182014,1.0,1,1,10.816666666666666
trigger_in_post_author_to_seed,ocullen,0.4804530139182014,1.0,1,1,5.516666666666667
trigger_in_post_author_to_seed,meatrocket68,0.4804530139182014,1.0,1,1,36.0
trigger_in_post_author_to_seed,charliepup,0.4804530139182014,1.0,1,1,493.25
trigger_in_post_author_to_seed,blaziken8x,0.4804530139182014,1.0,1,1,210.93333333333337
trigger_in_post_author_to_seed,bespread,0.4804530139182014,1.0,1,1,19.4
trigger_in_post_author_to_seed,babuu525,0.4804530139182014,1.0,1,1,49.95
trigger_in_post_author_to_seed,Parchitax,0.4804530139182014,1.0,1,1,29.533333333333335
trigger_in_post_author_to_seed,Majestic_Profile1433,0.4804530139182014,1.0,1,1,31.033333333333335
trigger_in_post_author_to_seed,Jnielsss,0.4804530139182014,1.0,1,1,103.61666666666666
trigger_in_post_author_to_seed,FabulousEvidence732,0.4804530139182014,1.0,1,1,22.75
trigger_in_post_author_to_seed,EdwardNewGate1993,0.4804530139182014,1.0,1,1,5.8
trigger_in_post_author_to_seed,DoofenShmigga,0.4804530139182014,1.0,1,1,260.3833333333333
trigger_in_post_author_to_seed,FPTsiep,0.2402265069591007,0.5,1,1,185.68333333333337
trigger_out_seed_to_responder,-Lorne-Malvo,0.1601510046394004,0.3333333333333333,1,1,576.8333333333334
trigger_out_seed_to_responder,bottahc,0.1601510046394004,0.3333333333333333,1,1,5179.85
trigger_out_seed_to_responder,alsoilikebeer,0.1601510046394004,0.3333333333333333,1,1,91.56666666666666
trigger_out_seed_to_responder,_itsJameson,0.1601510046394004,0.3333333333333333,1,1,470.15
trigger_out_seed_to_responder,WorldlyBuy1591,0.1601510046394004,0.3333333333333333,1,1,98.41666666666669
trigger_out_seed_to_responder,Vipu2,0.1601510046394004,0.3333333333333333,1,1,30.416666666666668
trigger_out_seed_to_responder,ThinNeighborhood2276,0.1601510046394004,0.3333333333333333,1,1,1941.5166666666669
trigger_out_seed_to_responder,TheLOON2000,0.1601510046394004,0.3333333333333333,1,1,10.566666666666666
trigger_out_seed_to_responder,Thanis_in_Eve,0.1601510046394004,0.3333333333333333,1,1,1760.6833333333334
trigger_out_seed_to_responder,Terhonator,0.1601510046394004,0.3333333333333333,1,1,100.16666666666669
trigger_out_seed_to_responder,TehSillyKitteh,0.1601510046394004,0.3333333333333333,1,1,1204.45
trigger_out_seed_to_responder,Stonedhouse,0.1601510046394004,0.3333333333333333,1,1,913.9166666666666
trigger_out_seed_to_responder,Snowballeffects,0.1601510046394004,0.3333333333333333,1,1,556.95
trigger_out_seed_to_responder,SnooBananas2002,0.1601510046394004,0.3333333333333333,1,1,467.9166666666667
trigger_out_seed_to_responder,Slipperfox,0.1601510046394004,0.3333333333333333,1,1,1076.8666666666666
