source_author,target_author,shared_target_count,weight_co_negative_target,group_id,layer
TuggerSpeedmen,Unable_Chard9803,2,1.0,co_negative_target_t030_001,co_negative_target
DNaftel,TuggerSpeedmen,2,0.5926535714405382,co_negative_target_t030_001,co_negative_target
DNaftel,Unable_Chard9803,2,0.5926535714405382,co_negative_target_t030_001,co_negative_target
Sir_Caloy,TuggerSpeedmen,2,0.5926535714405382,co_negative_target_t030_001,co_negative_target
Sir_Caloy,Unable_Chard9803,2,0.5926535714405382,co_negative_target_t030_001,co_negative_target
DNaftel,boohooman21,2,0.4838996147558052,co_negative_target_t030_001,co_negative_target
Sir_Caloy,my4coins,2,0.4585393956586983,co_negative_target_t030_001,co_negative_target
Fijiambed,boohooman21,2,0.4364357804719847,co_negative_target_t030_001,co_negative_target
DNaftel,pohoferceni,2,0.3743958487759929,co_negative_target_t030_001,co_negative_target
DNaftel,Sir_Caloy,2,0.3692248678868674,co_negative_target_t030_001,co_negative_target
DNaftel,Fijiambed,2,0.3167866590540639,co_negative_target_t030_001,co_negative_target
riperson,systematicgoo,2,0.5345224838248488,co_negative_target_t030_002,co_negative_target
foundout-side,nocommentacct,2,0.5000000000000001,co_negative_target_t030_002,co_negative_target
WeekendQuant,fukidtiots,2,0.4714045207910317,co_negative_target_t030_002,co_negative_target
333chordme,SilentRule755,2,0.447213595499958,co_negative_target_t030_002,co_negative_target
CashFlowOrBust,SilentRule755,2,0.447213595499958,co_negative_target_t030_002,co_negative_target
Plumbus_DoorSalesman,SilentRule755,2,0.4000000000000001,co_negative_target_t030_002,co_negative_target
WeekendQuant,walkinthedog97,2,0.3651483716701107,co_negative_target_t030_002,co_negative_target
563847293810,systematicgoo,2,0.3380617018914066,co_negative_target_t030_002,co_negative_target
SilentRule755,systematicgoo,2,0.3380617018914066,co_negative_target_t030_002,co_negative_target
systematicgoo,walkinthedog97,2,0.3380617018914066,co_negative_target_t030_002,co_negative_target
Plumbus_DoorSalesman,nocommentacct,2,0.316227766016838,co_negative_target_t030_002,co_negative_target
SilentRule755,nocommentacct,2,0.316227766016838,co_negative_target_t030_002,co_negative_target
crscali,walkinthedog97,2,0.316227766016838,co_negative_target_t030_002,co_negative_target
CashFlowOrBust,CryptoCadaver,2,0.3162277660168379,co_negative_target_t030_002,co_negative_target
WeekendQuant,systematicgoo,2,0.3086066999241837,co_negative_target_t030_002,co_negative_target
TryApprehensive2138,rokman,2,0.6264995084522798,co_negative_target_t030_003,co_negative_target
PorkSwordEnthusiast,TryApprehensive2138,2,0.5000000000000001,co_negative_target_t030_003,co_negative_target
GrassSmall6798,Stupendous_Twig,2,0.4135403464533245,co_negative_target_t030_003,co_negative_target
GrassSmall6798,thatguykeith,2,0.4082482904638631,co_negative_target_t030_003,co_negative_target
SirLandoLickherP,thatguykeith,2,0.4082482904638631,co_negative_target_t030_003,co_negative_target
GrassSmall6798,rokman,2,0.3617096598520919,co_negative_target_t030_003,co_negative_target
BenTG,rokman,2,0.3348780733729594,co_negative_target_t030_003,co_negative_target
GrassSmall6798,SirLandoLickherP,2,0.3333333333333333,co_negative_target_t030_003,co_negative_target
PorkSwordEnthusiast,rokman,2,0.3132497542261399,co_negative_target_t030_003,co_negative_target
BenTG,DontLook_Weirdo,2,0.3086066999241837,co_negative_target_t030_003,co_negative_target
BenTG,Eggs-Benny,2,0.3086066999241837,co_negative_target_t030_003,co_negative_target
BenTG,GrassSmall6798,2,0.3086066999241837,co_negative_target_t030_003,co_negative_target
Chaff5,m00fster,2,0.8164965809277261,co_negative_target_t030_004,co_negative_target
Pal3-Assignment,helloipoo,2,0.5163977794943222,co_negative_target_t030_004,co_negative_target
SeriousGains,jojobo1818,2,0.4585393956586983,co_negative_target_t030_004,co_negative_target
SeriousGains,m00fster,2,0.4585393956586983,co_negative_target_t030_004,co_negative_target
Lord_Alamar,abercrombezie,2,0.3779644730092272,co_negative_target_t030_004,co_negative_target
abercrombezie,soundsandsights,2,0.3779644730092272,co_negative_target_t030_004,co_negative_target
Chaff5,SeriousGains,2,0.3743958487759929,co_negative_target_t030_004,co_negative_target
SeriousGains,helloipoo,2,0.3743958487759929,co_negative_target_t030_004,co_negative_target
SeriousGains,ghgrain,2,0.3242363161114469,co_negative_target_t030_004,co_negative_target
abercrombezie,helloipoo,2,0.3086066999241838,co_negative_target_t030_004,co_negative_target
Boro_Bhai,Street_Outside_7228,2,0.7071067811865476,co_negative_target_t030_005,co_negative_target
NoUsernamesss,ScottKavanagh,2,0.4714045207910317,co_negative_target_t030_005,co_negative_target
Boro_Bhai,Satoshiman256,2,0.447213595499958,co_negative_target_t030_005,co_negative_target
No-Document-4462,Satoshiman256,2,0.4000000000000001,co_negative_target_t030_005,co_negative_target
No-Document-4462,NoUsernamesss,2,0.3651483716701107,co_negative_target_t030_005,co_negative_target
No-Document-4462,knuF,2,0.3651483716701107,co_negative_target_t030_005,co_negative_target
Satoshiman256,knuF,2,0.3651483716701107,co_negative_target_t030_005,co_negative_target
IamSuperLaxative,Satoshiman256,2,0.3380617018914066,co_negative_target_t030_005,co_negative_target
Outer_Fucking_Space2,Satoshiman256,2,0.316227766016838,co_negative_target_t030_005,co_negative_target
Outer_Fucking_Space2,Thawayshegoes,2,0.316227766016838,co_negative_target_t030_005,co_negative_target
OnlyCollege9064,hryelle,2,0.7071067811865476,co_negative_target_t030_006,co_negative_target
BlackDog990,Potex8,2,0.5345224838248488,co_negative_target_t030_006,co_negative_target
Cubehagain,Potex8,2,0.5345224838248488,co_negative_target_t030_006,co_negative_target
Cubehagain,UPkuma,2,0.4364357804719847,co_negative_target_t030_006,co_negative_target
Guilin_CH,OnlyCollege9064,2,0.4082482904638631,co_negative_target_t030_006,co_negative_target
Potex8,xGsGt,2,0.392232270276368,co_negative_target_t030_006,co_negative_target
UPkuma,stanley_fatmax,2,0.3651483716701107,co_negative_target_t030_006,co_negative_target
_itspax_,stanley_fatmax,2,0.3651483716701107,co_negative_target_t030_006,co_negative_target
OnlyCollege9064,stanley_fatmax,2,0.3162277660168379,co_negative_target_t030_006,co_negative_target
HackermanCR,MushroomDizzy649,2,0.5773502691896257,co_negative_target_t030_007,co_negative_target
MushroomDizzy649,titsup24-7,2,0.447213595499958,co_negative_target_t030_007,co_negative_target
HackermanCR,jrdeveloper1,2,0.4082482904638631,co_negative_target_t030_007,co_negative_target
East_Lab_863,XBThodler,2,0.3849001794597505,co_negative_target_t030_007,co_negative_target
HackermanCR,XBThodler,2,0.3849001794597505,co_negative_target_t030_007,co_negative_target
HamburgersOfKazuhira,XBThodler,2,0.3849001794597505,co_negative_target_t030_007,co_negative_target
Major_Relation_6869,XBThodler,2,0.3849001794597505,co_negative_target_t030_007,co_negative_target
MushroomDizzy649,jrdeveloper1,2,0.3535533905932738,co_negative_target_t030_007,co_negative_target
JerseyJimmyAsheville,XBThodler,2,0.3333333333333333,co_negative_target_t030_007,co_negative_target
HamburgersOfKazuhira,coojw,3,0.3216337604513384,co_negative_target_t030_007,co_negative_target
MBA_MarketingSales,Sweet-Celebration498,2,0.5,co_negative_target_t030_008,co_negative_target
Crypto-hercules,Sweet-Celebration498,2,0.447213595499958,co_negative_target_t030_008,co_negative_target
DeFiBandit,Sweet-Celebration498,2,0.4430020508366457,co_negative_target_t030_008,co_negative_target
Alternative_Show9800,Blkout50,2,0.3779644730092272,co_negative_target_t030_008,co_negative_target
BlightedErgot32,Sweet-Celebration498,2,0.3779644730092272,co_negative_target_t030_008,co_negative_target
Blkout50,grabsomedropsome,2,0.3779644730092272,co_negative_target_t030_008,co_negative_target
BlightedErgot32,DeFiBandit,2,0.3348780733729594,co_negative_target_t030_008,co_negative_target
MBA_MarketingSales,inter71,2,0.3162277660168379,co_negative_target_t030_008,co_negative_target
Sweet-Celebration498,inter71,2,0.3162277660168379,co_negative_target_t030_008,co_negative_target
grabsomedropsome,inter71,2,0.3162277660168379,co_negative_target_t030_008,co_negative_target
jsgrrchg,sylsau,2,0.5773502691896257,co_negative_target_t030_009,co_negative_target
MapleCorp,Prestigious_Ad280,2,0.5159815115009834,co_negative_target_t030_009,co_negative_target
Makunouchiipp0,MapleCorp,2,0.4264014327112208,co_negative_target_t030_009,co_negative_target
Makunouchiipp0,Odd_Welder_1841,2,0.4264014327112208,co_negative_target_t030_009,co_negative_target
Makunouchiipp0,SenSw0rd,2,0.4264014327112208,co_negative_target_t030_009,co_negative_target
Prestigious_Ad280,jsgrrchg,2,0.4212971399624731,co_negative_target_t030_009,co_negative_target
Annual_Juggernaut_47,Glad-Flamingo-93,2,0.3086066999241838,co_negative_target_t030_009,co_negative_target
Annual_Juggernaut_47,jsgrrchg,2,0.3086066999241838,co_negative_target_t030_009,co_negative_target
Makunouchiipp0,MedellinCapital,2,0.3015113445777636,co_negative_target_t030_009,co_negative_target
CMDR_Crook,leanman82,2,0.6666666666666666,co_negative_target_t030_010,co_negative_target
Equivalent_Algae7167,I_Hate_Reddit_69420,2,0.5773502691896257,co_negative_target_t030_010,co_negative_target
AlwaysMooning,themindspeaks,2,0.3779644730092272,co_negative_target_t030_010,co_negative_target
I_Hate_Reddit_69420,LandOfLuckyGhosts,2,0.3779644730092272,co_negative_target_t030_010,co_negative_target
BTCMachineElf,CMDR_Crook,2,0.3651483716701107,co_negative_target_t030_010,co_negative_target
BTCMachineElf,leanman82,2,0.3651483716701107,co_negative_target_t030_010,co_negative_target
AlwaysMooning,CMDR_Crook,2,0.3086066999241838,co_negative_target_t030_010,co_negative_target
AlwaysMooning,Equivalent_Algae7167,2,0.3086066999241838,co_negative_target_t030_010,co_negative_target
AlwaysMooning,Ultimo_Ninja,2,0.3086066999241838,co_negative_target_t030_010,co_negative_target
MagYkHeap,opticaIIllusion,2,0.7071067811865476,co_negative_target_t030_011,co_negative_target
mr_flibble_oz,opticaIIllusion,2,0.7071067811865476,co_negative_target_t030_011,co_negative_target
KualaLJ,opticaIIllusion,2,0.447213595499958,co_negative_target_t030_011,co_negative_target
btc2787,opticaIIllusion,2,0.3779644730092272,co_negative_target_t030_011,co_negative_target
KualaLJ,minomes,2,0.3651483716701107,co_negative_target_t030_011,co_negative_target
KualaLJ,btc2787,2,0.3380617018914066,co_negative_target_t030_011,co_negative_target
Ancamnae,FucktheCaball,2,1.0,co_negative_target_t030_012,co_negative_target
Ancamnae,Flat4Power4Life,2,0.5541843572871694,co_negative_target_t030_012,co_negative_target
Flat4Power4Life,FucktheCaball,2,0.5541843572871694,co_negative_target_t030_012,co_negative_target
Flat4Power4Life,TheLelouchLamperouge,2,0.3376542789548067,co_negative_target_t030_012,co_negative_target
21Moto,Cool_Use_575,2,0.5345224838248488,co_negative_target_t030_013,co_negative_target
Pristine-Scarcity-25,buchetti09,2,0.447213595499958,co_negative_target_t030_013,co_negative_target
MustHaveMoustache,buchetti09,3,0.4045199174779452,co_negative_target_t030_013,co_negative_target
MustHaveMoustache,PresentAdvertising29,2,0.3481553119113956,co_negative_target_t030_013,co_negative_target
21Moto,buchetti09,2,0.3380617018914066,co_negative_target_t030_013,co_negative_target
MustHaveMoustache,Pristine-Scarcity-25,2,0.3015113445777636,co_negative_target_t030_013,co_negative_target
Terrible-Pattern8933,doge_fps,2,0.4000000000000001,co_negative_target_t030_014,co_negative_target
Digital_Scarcity,dudimow,2,0.3651483716701107,co_negative_target_t030_014,co_negative_target
Terrible-Pattern8933,buyBTCyoufuckingtard,2,0.3651483716701107,co_negative_target_t030_014,co_negative_target
Terrible-Pattern8933,dudimow,2,0.3651483716701107,co_negative_target_t030_014,co_negative_target
buyBTCyoufuckingtard,doge_fps,2,0.3651483716701107,co_negative_target_t030_014,co_negative_target
buyBTCyoufuckingtard,xtexm,2,0.3651483716701107,co_negative_target_t030_014,co_negative_target
Drcfan,Murky_Citron_1799,2,0.4472135954999578,co_negative_target_t030_015,co_negative_target
GivenToFly55,Murky_Citron_1799,2,0.4472135954999578,co_negative_target_t030_015,co_negative_target
Murky_Citron_1799,teflonjon321,2,0.4472135954999578,co_negative_target_t030_015,co_negative_target
Civil_Store_5310,Typical-Street-6496,2,0.3535533905932738,co_negative_target_t030_015,co_negative_target
Civil_Store_5310,teflonjon321,2,0.3535533905932738,co_negative_target_t030_015,co_negative_target
Gullible-Tie7535,mcns666,2,0.4585393956586983,co_negative_target_t030_016,co_negative_target
Gullible-Tie7535,ronchon,2,0.4585393956586983,co_negative_target_t030_016,co_negative_target
Shazvox,mcns666,2,0.4082482904638631,co_negative_target_t030_016,co_negative_target
Own-Throat-4390,Shazvox,2,0.3333333333333333,co_negative_target_t030_016,co_negative_target
Shazvox,feathernose,2,0.3333333333333333,co_negative_target_t030_016,co_negative_target
