neighbor,weight,relation
VilCyan,0.3015113445777637,co_target
crushthewebdev,0.3015113445777637,co_target
Benglian,0.2461829819586655,co_target
lankymanx,0.2461829819586655,co_target
According-Debate-265,0.2132007163556105,co_target
BTC-Stacker69,0.2132007163556105,co_target
Dry_Negotiation_9234,0.2132007163556105,co_target
HumanBeeing-,0.2132007163556105,co_target
56hoperoad,0.2010768390464419,co_target
AwayWorker901,0.1916177125290548,co_target
0piates,0.1906925178491185,co_target
AccomplishedPhase883,0.1906925178491185,co_target
Behruz_Tolibov,0.1906925178491185,co_target
CARadders,0.1906925178491185,co_target
ETH2140,0.1906925178491185,co_target
LiveSlay,0.5163977794943222,co_negative_target
AIweWereWarned,0.3202563076101742,co_negative_target
CoffeeAlternative647,0.2407717061715384,co_negative_target
