relation,neighbor,weight_trigger_response,response_coverage,posts_with_b_comment,b_total_comments_on_a_posts,median_response_delay_minutes
trigger_in_post_author_to_seed,Ambitious-Tutor8260,0.4804530139182014,1.0,1,1,1740.25
trigger_in_post_author_to_seed,achshort,0.4804530139182014,1.0,1,1,616.2666666666667
trigger_in_post_author_to_seed,Financial-Session956,0.4804530139182014,1.0,1,1,13.466666666666669
trigger_in_post_author_to_seed,teddy-roosevelt,0.4804530139182014,1.0,1,1,42.18333333333333
trigger_in_post_author_to_seed,mrmango43,0.4804530139182014,1.0,1,1,159.25
trigger_in_post_author_to_seed,mooopy,0.4804530139182014,1.0,1,1,454.3
trigger_in_post_author_to_seed,iknowyounot88,0.4804530139182014,1.0,1,1,77.26666666666667
trigger_in_post_author_to_seed,fading319,0.4804530139182014,1.0,1,1,30.2
trigger_in_post_author_to_seed,drKRB,0.4804530139182014,1.0,1,1,85.4
trigger_in_post_author_to_seed,corkycirca89,0.4804530139182014,1.0,1,1,97.06666666666666
trigger_in_post_author_to_seed,codexTKO,0.4804530139182014,1.0,1,1,139.18333333333334
trigger_in_post_author_to_seed,Weird-Access-8744,0.4804530139182014,1.0,1,1,271.31666666666666
trigger_in_post_author_to_seed,Suspicious-Cost-8965,0.4804530139182014,1.0,1,1,547.5
trigger_in_post_author_to_seed,Sulpho,0.4804530139182014,1.0,1,1,96.56666666666666
trigger_in_post_author_to_seed,PidgeySlayer268,0.4804530139182014,1.0,1,1,3.8333333333333335
trigger_out_seed_to_responder,Apprehensive-Tour942,0.603474480406291,0.5,2,2,313.1666666666667
trigger_out_seed_to_responder,civilian411,0.603474480406291,0.5,2,2,59.25833333333333
trigger_out_seed_to_responder,ThaSamuraiy,0.1201132534795503,0.25,1,1,81.1
trigger_out_seed_to_responder,br0mmando,0.1201132534795503,0.25,1,1,113.75
trigger_out_seed_to_responder,eupherein,0.1201132534795503,0.25,1,1,162.0
trigger_out_seed_to_responder,dbudlov,0.1201132534795503,0.25,1,1,106.43333333333334
trigger_out_seed_to_responder,dasmonty,0.1201132534795503,0.25,1,1,2.5166666666666666
trigger_out_seed_to_responder,chaosorbs,0.1201132534795503,0.25,1,1,59.6
trigger_out_seed_to_responder,casiocoin,0.1201132534795503,0.25,1,1,764.5166666666667
trigger_out_seed_to_responder,bubblemap,0.1201132534795503,0.25,1,1,68.1
trigger_out_seed_to_responder,bitbug42,0.1201132534795503,0.25,1,1,259.7
trigger_out_seed_to_responder,TheHumanCanoe,0.1201132534795503,0.25,1,1,1042.5666666666666
trigger_out_seed_to_responder,indvs3,0.1201132534795503,0.25,1,1,955.7333333333332
trigger_out_seed_to_responder,ash893,0.1201132534795503,0.25,1,1,128.91666666666666
trigger_out_seed_to_responder,acuriousman13,0.1201132534795503,0.25,1,1,96.55
