neighbor,weight,relation
Apprehensive-Tour942,0.1848667709830315,co_target
Free_Entrance_6626,0.170346648166677,co_target
TraditionAlone3095,0.1703079426336768,co_target
KiwiPrimal,0.1667802486009481,co_target
Samwise_1994,0.1651454304328563,co_target
NeitherCoast3774,0.1568479827707451,co_target
Cryptotiptoe21,0.1567633301877905,co_target
Fruit_Fountain,0.1564805677827576,co_target
Escapement_Watch,0.1558431832893381,co_target
JerryLeeDog,0.1549305839087972,co_target
Consistent-Set-913,0.1539207322117265,co_target
GrandmasCervix,0.2324952774876386,co_negative_target
Human-Key-7984,0.2324952774876386,co_negative_target
Quantumosaur,0.2324952774876386,co_negative_target
supahcalah,0.2324952774876386,co_negative_target
the_gamer_guy56,0.2324952774876386,co_negative_target
ilovesaintpaul,0.988234964045025,tag_similarity
Deborah_Jones1802,0.9854026476806624,tag_similarity
AkbarianTar,0.98361236955957,tag_similarity
Fiach_Dubh,0.9823839536568724,tag_similarity
Diughhomedog,0.980820275369164,tag_similarity
WinOutrageous1190,0.973685546892042,tag_similarity
L6V9,0.9728036529724328,tag_similarity
Web3-Sizzler,0.9720205057837432,tag_similarity
BringerOfRainsn,0.9711947463652884,tag_similarity
Minimum-Attempt6677,0.970648422477163,tag_similarity
Hajika12,0.96350291349717,tag_similarity
Odd-Listen-396,0.9563453903895964,tag_similarity
CryptoNuggsOfficial,0.9429829794045654,tag_similarity
SmokeAndSkate,0.9112448186072843,tag_similarity
