neighbor,weight,relation
FunkyChickenTendy,0.3150578554880603,co_target
Pugilist12,0.3050314543992897,co_target
No_Sort_130,0.3023459171860176,co_target
Illustrious-Boss9356,0.2848511115070124,co_target
NectarineDirect936,0.2826083255961948,co_target
DryMyBottom,0.2768214679662154,co_target
Artio,0.2643330515615926,co_target
StoneHammers,0.2627228079928799,co_target
skeetskeetamirite,0.2597578158759266,co_target
GenFigment,0.2458239278289115,co_target
Ok-Abbreviations6442,0.2454829863660675,co_target
Get_the_nak,0.2412218293790405,co_target
KingPettyx,0.2403733846038353,co_target
abercrombezie,0.2340009516826394,co_target
harvested,0.2325898991062461,co_target
OutlandishnessOld903,0.2390457218668787,co_negative_target
newtobitcoin111,0.2390457218668787,co_negative_target
thesatdaddy,0.990894229754382,tag_similarity
WinOutrageous1190,0.9861171648700584,tag_similarity
Moist_Bass_5823,0.9851408093908371,tag_similarity
SteelGhost17,0.9844761039892724,tag_similarity
TLOBTC,0.9840878133620568,tag_similarity
BtcKing1111,0.981840877049441,tag_similarity
PopFirm5291,0.980037057998609,tag_similarity
Illustrious_Stand319,0.9794966033452348,tag_similarity
xtexm,0.9794789273572744,tag_similarity
PollabBTC,0.9793532994729676,tag_similarity
PheelGoodInc,0.979273333021978,tag_similarity
Successful-Sky-7,0.9783912009055228,tag_similarity
El_y_mar,0.9773417535717536,tag_similarity
skeetskeetamirite,0.9772930320047144,tag_similarity
coojw,0.9719973095602346,tag_similarity
