neighbor,weight,relation
1MartyMcFly1,0.3003975151601749,co_target
Admirable-Style4656,0.3003975151601749,co_target
Easy-Yogurt4939,0.3003975151601749,co_target
chucrutcito,0.2797829212264691,co_target
OfficialHIVE,0.2405815523847317,co_target
Accidental_Ballyhoo,0.2270791770215936,co_target
DrBix,0.2270791770215936,co_target
AriesThef0x,0.2227758340951064,co_target
ClearSnakewood,0.2020841448240897,co_target
Stereo-Gito,0.1950610353144645,co_target
Brave-Kitchen-5654,0.1899880702722226,co_target
bigsancholucci,0.1897695181102556,co_target
emilioermeio,0.1853025787509954,co_target
AddSash,0.1756924341906258,co_target
Crypto-hercules,0.1648729471261237,co_target
Wobbalabba776,0.3779644730092272,co_negative_target
PolarPelly,0.2672612419124244,co_negative_target
CorneliusFudgem,0.2390457218668787,co_negative_target
mymomsaidiamsmart,0.2390457218668787,co_negative_target
Anzu_Yamasaki,0.2036164386374079,co_negative_target
ItIsRaf,0.9678708159153108,tag_similarity
KryptoSC,0.965128155920951,tag_similarity
FutureEmployment1268,0.962294834408024,tag_similarity
RonaldoRonny,0.9590466946286408,tag_similarity
Impossible-Target654,0.952017541558004,tag_similarity
3fkgf9fmd980e,0.9517448859413722,tag_similarity
CiaranCarroll,0.9513287779676164,tag_similarity
Acceptable-Run8569,0.9436786343843664,tag_similarity
dbudlov,0.9430039667580218,tag_similarity
Breezeeosco,0.9412644174915742,tag_similarity
gettabetter1,0.8887212149134024,tag_similarity
