seed,neighbor,shared_target_count,shared_target_weight_sum,shared_targets
Wsemenske,mymomsaidiamsmart,2,0.8664339756999315,"t1mzi, CoolFunnyPersona"
Wsemenske,Wobbalabba776,2,0.8317766166719343,"Illustrious-Emu6440, Illustrious_Stand319"
Wsemenske,CorneliusFudgem,2,0.8317766166719343,"Johnwaynejetsk1, Illustrious_Stand319"
Wsemenske,PolarPelly,2,0.6931471805599452,"Illustrious_Stand319, t1mzi"
Wsemenske,Anzu_Yamasaki,2,0.621226662447,"Illustrious_Stand319, rBitcoinMod"
Wsemenske,emilioermeio,2,0.4564348191467835,"Vegetable_Sun_9225, PhantomCMY"
Wsemenske,DrBix,2,0.3465735902799726,"Illustrious_Stand319, Vegetable_Sun_9225"
Wsemenske,Admirable-Style4656,1,0.3465735902799726,Aristotlewiseman
Wsemenske,AriesThef0x,1,0.3465735902799726,CoolFunnyPersona
Wsemenske,1MartyMcFly1,0,0.0,
Wsemenske,Easy-Yogurt4939,0,0.0,
Wsemenske,chucrutcito,0,0.0,
Wsemenske,OfficialHIVE,0,0.0,
Wsemenske,Accidental_Ballyhoo,0,0.0,
Wsemenske,ClearSnakewood,0,0.0,
Wsemenske,Stereo-Gito,0,0.0,
Wsemenske,Brave-Kitchen-5654,0,0.0,
Wsemenske,bigsancholucci,0,0.0,
Wsemenske,AddSash,0,0.0,
Wsemenske,Crypto-hercules,0,0.0,
Wsemenske,ItIsRaf,0,0.0,
Wsemenske,KryptoSC,0,0.0,
Wsemenske,FutureEmployment1268,0,0.0,
Wsemenske,RonaldoRonny,0,0.0,
Wsemenske,Impossible-Target654,0,0.0,
Wsemenske,3fkgf9fmd980e,0,0.0,
Wsemenske,CiaranCarroll,0,0.0,
Wsemenske,Acceptable-Run8569,0,0.0,
Wsemenske,dbudlov,0,0.0,
Wsemenske,Breezeeosco,0,0.0,
Wsemenske,gettabetter1,0,0.0,
