relation,neighbor,weight_trigger_response,response_coverage,posts_with_b_comment,b_total_comments_on_a_posts,median_response_delay_minutes
trigger_in_post_author_to_seed,Aristotlewiseman,0.4804530139182014,1.0,1,1,32.13333333333333
trigger_in_post_author_to_seed,Vegetable_Sun_9225,0.4804530139182014,1.0,1,1,89.2
trigger_in_post_author_to_seed,wheninrome5000,0.4804530139182014,1.0,1,1,663.8333333333334
trigger_in_post_author_to_seed,ArtaxNatreyu,0.4804530139182014,1.0,1,1,534.7166666666667
trigger_in_post_author_to_seed,reazon54,0.4804530139182014,1.0,1,1,57.93333333333333
trigger_in_post_author_to_seed,inphenite,0.4804530139182014,1.0,1,1,127.18333333333334
trigger_in_post_author_to_seed,t1mzi,0.4804530139182014,1.0,1,1,182.18333333333337
trigger_in_post_author_to_seed,OpeningRepulsive6814,0.4804530139182014,1.0,1,1,670.2666666666667
trigger_in_post_author_to_seed,Lion490,0.4804530139182014,1.0,1,1,295.3666666666667
trigger_in_post_author_to_seed,Illustrious-Emu6440,0.4804530139182014,1.0,1,1,639.8166666666667
trigger_in_post_author_to_seed,FrostyArtichoke3923,0.4804530139182014,1.0,1,1,59.53333333333333
trigger_in_post_author_to_seed,CoolFunnyPersona,0.4804530139182014,1.0,1,1,277.95
trigger_in_post_author_to_seed,Crafty_End_2205,0.1201132534795503,0.25,1,1,227.26666666666668
trigger_in_post_author_to_seed,Johnwaynejetsk1,0.0960906027836402,0.2,1,1,186.86666666666667
trigger_in_post_author_to_seed,PhantomCMY,0.0800755023197002,0.1666666666666666,1,1,426.76666666666665
trigger_out_seed_to_responder,19YoJimbo93,0.1601510046394004,0.3333333333333333,1,1,3.35
trigger_out_seed_to_responder,Smoking-Coyote06,0.1601510046394004,0.3333333333333333,1,1,126.65
trigger_out_seed_to_responder,Tiny-Design-9885,0.1601510046394004,0.3333333333333333,1,1,7.266666666666667
trigger_out_seed_to_responder,ToTheBatmobileGuy,0.1601510046394004,0.3333333333333333,1,1,84.16666666666667
trigger_out_seed_to_responder,WasteFront1988,0.1601510046394004,0.3333333333333333,1,1,6.066666666666666
trigger_out_seed_to_responder,aberholla20,0.1601510046394004,0.3333333333333333,1,1,260.23333333333335
trigger_out_seed_to_responder,avatar_94,0.1601510046394004,0.3333333333333333,1,1,315.0833333333333
trigger_out_seed_to_responder,dasmonty,0.1601510046394004,0.3333333333333333,1,1,311.45
trigger_out_seed_to_responder,feanarosurion,0.1601510046394004,0.3333333333333333,1,1,314.28333333333336
trigger_out_seed_to_responder,grapedog,0.1601510046394004,0.3333333333333333,1,1,326.2
trigger_out_seed_to_responder,halt_spell,0.1601510046394004,0.3333333333333333,1,1,173.85
trigger_out_seed_to_responder,iamsimbaba,0.1601510046394004,0.3333333333333333,1,1,317.68333333333334
trigger_out_seed_to_responder,jdells59,0.1601510046394004,0.3333333333333333,1,1,7663.8
trigger_out_seed_to_responder,life764,0.1601510046394004,0.3333333333333333,1,1,18.716666666666665
trigger_out_seed_to_responder,minecraft21420,0.1601510046394004,0.3333333333333333,1,1,394.53333333333336
