seed,neighbor,shared_target_count,shared_target_weight_sum,shared_targets
harvested,FuelZestyclose3541,2,0.8958797346140275,"Amphibious333, El_y_mar"
harvested,GooseBash,2,0.8317766166719343,"El_y_mar, Soggy-Welder2265"
harvested,fanzakh,2,0.8317766166719343,"Amphibious333, Crafty_End_2205"
harvested,NectarineDirect936,2,0.7624618986159397,"JerryLeeDog, Mercurius88888"
harvested,CoolPineapple6969,2,0.6931471805599452,"Mercurius88888, Soggy-Welder2265"
harvested,Fabulous-Chard3987,2,0.6931471805599452,"Mercurius88888, arj511"
harvested,autemox,2,0.6931471805599452,"atreyu051, tompadget69"
harvested,wish_I_knew_before-1,2,0.5545177444479562,"JerryLeeDog, Amphibious333"
harvested,PheelGoodInc,1,0.5198603854199589,Amphibious333
harvested,rtublin,1,0.3465735902799726,No-Cow-408
harvested,Relevant-Kangaroo-85,1,0.1732867951399863,JerryLeeDog
harvested,R3dFiveStandingBye,0,0.0,
harvested,Middle____Earth,0,0.0,
harvested,Traditional-Bed-6369,0,0.0,
harvested,FrivolerFridolin,0,0.0,
harvested,cheese20202,0,0.0,
harvested,TheMoonMoth,0,0.0,
harvested,eetaylog,0,0.0,
harvested,Frequent_Staff2896,0,0.0,
harvested,BaldDragonSlayer,0,0.0,
harvested,SmokeAndSkate,0,0.0,
harvested,Confident-Land4117,0,0.0,
harvested,Bus1nessn00b,0,0.0,
harvested,No-Cow-408,0,0.0,
harvested,AttentionSpanGamer,0,0.0,
harvested,Volsen36,0,0.0,
harvested,BringerOfRainsn,0,0.0,
harvested,New-Basil-8889,0,0.0,
harvested,NoFly3972,0,0.0,
harvested,Bit_Fucked,0,0.0,
harvested,spilltrend,0,0.0,
harvested,InfiniteMonkeySage,0,0.0,
harvested,very_452001,0,0.0,
harvested,Mobile-Passenger3214,0,0.0,
