neighbor,weight,relation
slvbtc,0.2195714495816062,co_target
300wizzum,0.1947187376057957,co_target
FreeByTruth,0.1877264724575242,co_target
JustinPooDough,0.185276341906794,co_target
BitcoinFan7,0.1851788665780979,co_target
frozen_pipe77,0.1837480900050849,co_target
alfonsomg,0.1836709352552879,co_target
ArenIX,0.1730414952377921,co_target
PeaceLovenJoy45,0.172400309890995,co_target
_Starter,0.172246829927425,co_target
Au_Adam,0.1710481297207656,co_target
Altruistic_Mobile_60,0.1669690307655965,co_target
CyroSwitchBlade,0.1660463537596261,co_target
Cyborg_888,0.1612657232464395,co_target
Familiar-Potato5646,0.1612657232464395,co_target
MisanthropicSocrates,0.392232270276368,co_negative_target
platour220,0.392232270276368,co_negative_target
der-gaster-981,0.2480694691784169,co_negative_target
evasivemoves,0.978480832135371,tag_similarity
TheLuckyLeandro,0.9735474852524442,tag_similarity
Obvireal,0.9717673744174604,tag_similarity
ConfuciusYorkZi,0.9614768058549804,tag_similarity
Heatsincebirth,0.9586514839611532,tag_similarity
KingPettyx,0.9575824613286178,tag_similarity
BENshakalaka,0.9560449527190048,tag_similarity
AizenCapital,0.9543011149306878,tag_similarity
Mercurius88888,0.952946116858363,tag_similarity
peaceandlove5459,0.9504506294842824,tag_similarity
Acceptable_Concert81,0.947734317744384,tag_similarity
SnooComics5459,0.9466441697177724,tag_similarity
RexedgeAR,0.9347418295770372,tag_similarity
cloud_sole,0.9275616878148804,tag_similarity
dbielecki21,0.8724622092220322,tag_similarity
