relation,neighbor,weight_trigger_response,response_coverage,posts_with_b_comment,b_total_comments_on_a_posts,median_response_delay_minutes
trigger_in_post_author_to_seed,Ace2021,0.4804530139182014,1.0,1,1,328.1166666666667
trigger_in_post_author_to_seed,Adventurous-Wind4933,0.4804530139182014,1.0,1,1,13.95
trigger_in_post_author_to_seed,Sea_Emotion_2610,0.4804530139182014,1.0,1,1,32.766666666666666
trigger_in_post_author_to_seed,TamerCrypto,0.4804530139182014,1.0,1,1,6.533333333333333
trigger_in_post_author_to_seed,TinySearch3711,0.4804530139182014,1.0,1,1,19.016666666666666
trigger_in_post_author_to_seed,WilliamFraser92,0.4804530139182014,1.0,1,1,87.28333333333333
trigger_in_post_author_to_seed,aifuturedev,0.4804530139182014,1.0,1,1,9.283333333333331
trigger_in_post_author_to_seed,casareafer2908,0.4804530139182014,1.0,1,1,27.7
trigger_in_post_author_to_seed,chronobrian,0.4804530139182014,1.0,1,1,48.5
trigger_in_post_author_to_seed,grande_sequoia,0.4804530139182014,1.0,1,1,35.93333333333333
trigger_in_post_author_to_seed,ialfreddo,0.4804530139182014,1.0,1,1,19.8
trigger_in_post_author_to_seed,kelv031,0.4804530139182014,1.0,1,1,16.733333333333334
trigger_in_post_author_to_seed,mushbee1,0.4804530139182014,1.0,1,1,14.466666666666669
trigger_in_post_author_to_seed,pierrefitch,0.4804530139182014,1.0,1,1,49.016666666666666
trigger_in_post_author_to_seed,sheetstainss,0.4804530139182014,1.0,1,1,333.03333333333336
trigger_out_seed_to_responder,JerryLeeDog,0.3985062144584976,0.1538461538461538,4,4,28.94166666666667
trigger_out_seed_to_responder,Tothinkoutofthenut,0.092842227754814,0.0769230769230769,2,2,126.55
trigger_out_seed_to_responder,Analog_AI,0.092842227754814,0.0769230769230769,2,2,4.7
trigger_out_seed_to_responder,veganbitcoiner420,0.092842227754814,0.0769230769230769,2,2,117.38333333333333
trigger_out_seed_to_responder,tbkrida,0.092842227754814,0.0769230769230769,2,2,64.975
trigger_out_seed_to_responder,rBitcoinMod,0.092842227754814,0.0769230769230769,2,2,127.825
trigger_out_seed_to_responder,nocommentacct,0.092842227754814,0.0769230769230769,2,2,273.3416666666667
trigger_out_seed_to_responder,mikeso623,0.092842227754814,0.0769230769230769,2,2,115.475
trigger_out_seed_to_responder,cee604,0.092842227754814,0.0769230769230769,2,2,325.3833333333333
trigger_out_seed_to_responder,YellowCore,0.092842227754814,0.0769230769230769,2,2,245.45
trigger_out_seed_to_responder,UltimaSpes,0.092842227754814,0.0769230769230769,2,2,217.29166666666669
trigger_out_seed_to_responder,Sweet-Hat-7946,0.092842227754814,0.0769230769230769,2,2,690.4916666666667
trigger_out_seed_to_responder,Stupendous_Twig,0.092842227754814,0.0769230769230769,2,2,79.125
trigger_out_seed_to_responder,Stony_1987,0.092842227754814,0.0769230769230769,2,2,42.21666666666667
trigger_out_seed_to_responder,Modrew,0.092842227754814,0.0769230769230769,2,2,71.43333333333334
