relation,neighbor,weight_trigger_response,response_coverage,posts_with_b_comment,b_total_comments_on_a_posts,median_response_delay_minutes
trigger_in_post_author_to_seed,zzseayzz,0.4827795843250329,0.4,2,2,545.1416666666667
trigger_in_post_author_to_seed,Pocaille,0.4804530139182014,1.0,1,1,489.4
trigger_in_post_author_to_seed,ActraiseR,0.4804530139182014,1.0,1,1,55.333333333333336
trigger_in_post_author_to_seed,vancleefen-official,0.4804530139182014,1.0,1,1,436.5
trigger_in_post_author_to_seed,thd3us,0.4804530139182014,1.0,1,1,769.95
trigger_in_post_author_to_seed,tbirtles,0.4804530139182014,1.0,1,1,53.1
trigger_in_post_author_to_seed,keepitahunned,0.4804530139182014,1.0,1,1,107.18333333333334
trigger_in_post_author_to_seed,arsebandit_roberts,0.4804530139182014,1.0,1,1,269.55
trigger_in_post_author_to_seed,WaterWalkersLLC,0.4804530139182014,1.0,1,1,185.06666666666663
trigger_in_post_author_to_seed,WarisAllie,0.4804530139182014,1.0,1,1,81.98333333333333
trigger_in_post_author_to_seed,True-Rule-7409,0.4804530139182014,1.0,1,1,87.46666666666667
trigger_in_post_author_to_seed,TelMax3,0.4804530139182014,1.0,1,1,20.2
trigger_in_post_author_to_seed,Starlight072,0.4804530139182014,1.0,1,1,102.6
trigger_in_post_author_to_seed,Sea_Alternative_6699,0.4804530139182014,1.0,1,1,134.86666666666667
trigger_in_post_author_to_seed,Practical-Writing145,0.4804530139182014,1.0,1,1,166.41666666666666
trigger_out_seed_to_responder,4xfun,0.2402265069591007,0.5,1,1,23.4
trigger_out_seed_to_responder,Amphibious333,0.2402265069591007,0.5,1,1,44.766666666666666
trigger_out_seed_to_responder,syrupmania5,0.2402265069591007,0.5,1,1,46.95
trigger_out_seed_to_responder,rtmxavi,0.2402265069591007,0.5,1,1,0.7
trigger_out_seed_to_responder,rBitcoinMod,0.2402265069591007,0.5,1,1,5.566666666666666
trigger_out_seed_to_responder,pinktrending,0.2402265069591007,0.5,1,1,2.4
trigger_out_seed_to_responder,fonaldduck099,0.2402265069591007,0.5,1,1,748.1
trigger_out_seed_to_responder,elliasdev,0.2402265069591007,0.5,1,1,895.3
trigger_out_seed_to_responder,MinyMine,0.2402265069591007,0.5,1,1,35.4
trigger_out_seed_to_responder,Mediocre-Delay-6318,0.2402265069591007,0.5,1,1,55.95
trigger_out_seed_to_responder,LimitAlternative2629,0.2402265069591007,0.5,1,1,53.233333333333334
trigger_out_seed_to_responder,Knurlinger,0.2402265069591007,0.5,1,1,32.983333333333334
trigger_out_seed_to_responder,GodEmperorOfArrakis,0.2402265069591007,0.5,1,1,19.666666666666668
trigger_out_seed_to_responder,FuelZestyclose3541,0.2402265069591007,0.5,1,1,49.983333333333334
trigger_out_seed_to_responder,Esparanzia,0.2402265069591007,0.5,1,1,723.6
