neighbor,weight,relation
grossboypits,0.269620604938172,co_target
Forgot_Password_Dude,0.2201443020796826,co_target
GreatComposer85,0.2201443020796826,co_target
foxroadblue,0.2201443020796826,co_target
jessi387,0.2201443020796826,co_target
moralesnery,0.2201443020796826,co_target
AmbitiousBread,0.1906505580994005,co_target
bravedog74,0.1906505580994005,co_target
Sandwich-Helpful,0.1705230431434131,co_target
lostdream9000,0.1705230431434131,co_target
B_Traven9272,0.1556655288401233,co_target
Halo_Chief117,0.1556655288401233,co_target
StrangeApeCreature,0.1556655288401233,co_target
distramed,0.1556655288401233,co_target
AlpsApprehensive4687,0.2886751345948128,co_negative_target
Antitdeveloper,0.2886751345948128,co_negative_target
B_Traven9272,0.2886751345948128,co_negative_target
MilStd,0.2886751345948128,co_negative_target
AmbitiousBread,0.2357022603955158,co_negative_target
ApoplecticAndroid,0.2357022603955158,co_negative_target
Content_Cream2475,0.2041241452319315,co_negative_target
Emergency_Trick_4930,0.2041241452319315,co_negative_target
Halo_Chief117,0.2041241452319315,co_negative_target
MushroomDizzy649,0.2041241452319315,co_negative_target
TripsterX,0.2041241452319315,co_negative_target
