relation,neighbor,weight_trigger_response,response_coverage,posts_with_b_comment,b_total_comments_on_a_posts,median_response_delay_minutes
trigger_in_post_author_to_seed,999nevermind9,0.4804530139182014,1.0,1,1,49.25
trigger_in_post_author_to_seed,MangoOatmilk,0.4804530139182014,1.0,1,1,1019.8166666666668
trigger_in_post_author_to_seed,Any-Management-8455,0.4804530139182014,1.0,1,1,330.8
trigger_in_post_author_to_seed,zuperman,0.4804530139182014,1.0,1,1,254.45
trigger_in_post_author_to_seed,jn92082,0.4804530139182014,1.0,1,1,465.1166666666667
trigger_in_post_author_to_seed,babuu525,0.4804530139182014,1.0,1,1,625.9166666666666
trigger_in_post_author_to_seed,WaterWalkersLLC,0.4804530139182014,1.0,1,1,776.5666666666667
trigger_in_post_author_to_seed,ParallelSmoke,0.4804530139182014,1.0,1,1,41.0
trigger_in_post_author_to_seed,TelMax3,0.4804530139182014,1.0,1,1,119.58333333333331
trigger_in_post_author_to_seed,Less_Attitude_3647,0.4804530139182014,1.0,1,1,97.21666666666668
trigger_in_post_author_to_seed,KaleidoscopeJaded470,0.4804530139182014,1.0,1,1,91.9
trigger_in_post_author_to_seed,Illustrious-Pay6341,0.4804530139182014,1.0,1,1,29.466666666666665
trigger_in_post_author_to_seed,Grouchy-Tourist3012,0.4804530139182014,1.0,1,1,729.2833333333333
trigger_in_post_author_to_seed,Fun_Suggestion_6307,0.4804530139182014,1.0,1,1,515.6166666666667
trigger_in_post_author_to_seed,Express-Cry-3015,0.4804530139182014,1.0,1,1,462.9
trigger_out_seed_to_responder,joecool42069,0.761500010418809,1.0,1,2,24.35
trigger_out_seed_to_responder,Wise-Start-9166,0.4804530139182014,1.0,1,1,251.23333333333332
trigger_out_seed_to_responder,anotherbadPAL,0.4804530139182014,1.0,1,1,49.916666666666664
trigger_out_seed_to_responder,advertisethat,0.4804530139182014,1.0,1,1,185.38333333333333
trigger_out_seed_to_responder,aberholla20,0.4804530139182014,1.0,1,1,97.65
trigger_out_seed_to_responder,aadawg88,0.4804530139182014,1.0,1,1,5.433333333333334
trigger_out_seed_to_responder,Zinner4231,0.4804530139182014,1.0,1,1,51.483333333333334
trigger_out_seed_to_responder,YourFixJustRuinsIt,0.4804530139182014,1.0,1,1,106.61666666666666
trigger_out_seed_to_responder,WillingAide1885,0.4804530139182014,1.0,1,1,8.933333333333334
trigger_out_seed_to_responder,bobbyv137,0.4804530139182014,1.0,1,1,648.4
trigger_out_seed_to_responder,Violentgrip,0.4804530139182014,1.0,1,1,3.75
trigger_out_seed_to_responder,United-Blackberry-77,0.4804530139182014,1.0,1,1,24.65
trigger_out_seed_to_responder,Trader0721,0.4804530139182014,1.0,1,1,108.31666666666666
trigger_out_seed_to_responder,TheSmegger,0.4804530139182014,1.0,1,1,107.01666666666668
trigger_out_seed_to_responder,TallTemperature7456,0.4804530139182014,1.0,1,1,66.7
