neighbor,weight,relation
Filmexec21,0.2886751345948128,co_target
Free_Jelly8972,0.2886751345948128,co_target
ayyy1m4o,0.2886751345948128,co_target
tradesman8760,0.2886751345948128,co_target
SolidLiquidSnake86,0.2041241452319315,co_target
StackOwOFlow,0.2041241452319315,co_target
unlmtdLoL,0.2041241452319315,co_target
Amazing-Income-1331,0.1825741858350553,co_target
ghgrain,0.1825741858350553,co_target
powerchakra,0.1825741858350553,co_target
Present_Cow_1683,0.1666666666666666,co_target
heyitscory,0.1666666666666666,co_target
fresheneesz,0.1556655288401233,co_target
International-Arm597,0.1543033499620918,co_target
GoodResident2000,0.2581988897471612,co_negative_target
ultra_annoymnuos,0.253546276418555,co_negative_target
MushroomDizzy649,0.223606797749979,co_negative_target
United-Blackberry-77,0.223606797749979,co_negative_target
codemonkeysh,0.223606797749979,co_negative_target
ghgrain,0.223606797749979,co_negative_target
grajnapc,0.223606797749979,co_negative_target
tibbon,0.223606797749979,co_negative_target
CatsGotANosebleed,0.2,co_negative_target
ExpensiveAd4496,0.2,co_negative_target
Opposite_Attorney122,0.2,co_negative_target
damiracle_NR,0.2,co_negative_target
smartaiai,0.99979026528621,tag_similarity
tommyboy11011,0.9977758766150354,tag_similarity
abercrombezie,0.9963758280851096,tag_similarity
Narrow-Surround-8416,0.948341699979001,tag_similarity
OTCWATCH,0.9226609949053788,tag_similarity
Altruistic-Loan-2271,0.9101084012892598,tag_similarity
T-Zing,0.9076675126776402,tag_similarity
OrganizationLoud8722,0.907356875156554,tag_similarity
noagendamarket,0.907356875156554,tag_similarity
Odd-Following-247,0.9059993164616732,tag_similarity
Wide_Operation_4785,0.8988393018430307,tag_similarity
MitchOnRed,0.8923632937646393,tag_similarity
