seed,neighbor,shared_target_count,shared_target_weight_sum,shared_targets
skydiver19,ultra_annoymnuos,3,1.3862943611198904,"richlobstermeow, Additional-Rip-7410, Darkerjev"
skydiver19,tibbon,3,1.0397207708399177,"Additional-Rip-7410, Darkerjev, nomaddd79"
skydiver19,ExpensiveAd4496,2,1.0743781298679151,"richlobstermeow, jn92082"
skydiver19,GoodResident2000,2,0.8664339756999315,"rEYAVjQD, Additional-Rip-7410"
skydiver19,grajnapc,2,0.8664339756999315,"skeetskeetamirite, ukpfmodsneedalife"
skydiver19,Opposite_Attorney122,2,0.8664339756999315,"Darkerjev, skeetskeetamirite"
skydiver19,Odd-Following-247,2,0.8664339756999315,"skeetskeetamirite, twohundred37"
skydiver19,damiracle_NR,2,0.8317766166719343,"SpenzerMalkav, skeetskeetamirite"
skydiver19,ghgrain,2,0.6931471805599452,"BoxTraditional3795, sirspeedy99"
skydiver19,MushroomDizzy649,2,0.6931471805599452,"richlobstermeow, stringings"
skydiver19,United-Blackberry-77,2,0.6931471805599452,"Darkerjev, sirspeedy99"
skydiver19,CatsGotANosebleed,2,0.6931471805599452,"Additional-Rip-7410, tompadget69"
skydiver19,codemonkeysh,2,0.5198603854199588,"jn92082, rEYAVjQD"
skydiver19,SolidLiquidSnake86,1,0.6931471805599453,SpenzerMalkav
skydiver19,ayyy1m4o,1,0.5198603854199589,SpenzerMalkav
skydiver19,International-Arm597,1,0.5198603854199589,SpenzerMalkav
skydiver19,heyitscory,1,0.4852030263919616,twohundred37
skydiver19,Free_Jelly8972,1,0.3465735902799726,BoxTraditional3795
skydiver19,unlmtdLoL,1,0.3465735902799726,rtmxavi
skydiver19,Amazing-Income-1331,1,0.3465735902799726,sirspeedy99
skydiver19,Filmexec21,0,0.0,
skydiver19,tradesman8760,0,0.0,
skydiver19,StackOwOFlow,0,0.0,
skydiver19,powerchakra,0,0.0,
skydiver19,Present_Cow_1683,0,0.0,
skydiver19,fresheneesz,0,0.0,
skydiver19,smartaiai,0,0.0,
skydiver19,tommyboy11011,0,0.0,
skydiver19,abercrombezie,0,0.0,
skydiver19,Narrow-Surround-8416,0,0.0,
skydiver19,OTCWATCH,0,0.0,
skydiver19,Altruistic-Loan-2271,0,0.0,
skydiver19,T-Zing,0,0.0,
skydiver19,OrganizationLoud8722,0,0.0,
skydiver19,noagendamarket,0,0.0,
skydiver19,Wide_Operation_4785,0,0.0,
skydiver19,MitchOnRed,0,0.0,
